,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2020-08-31,1541000000.0,-561000000.0,-38000000.0,-2133000000.0,-273000000.0,3329000000.0,855000000.0,147000000.0,1941000000.0,1411000000.0,110000000.0,-2065000000.0,-1091000000.0,723000000.0,-68000000.0,-3099000000.0,-1575000000.0
2019-08-31,1986000000.0,46000000.0,810000000.0,-1773000000.0,201000000.0,6101000000.0,4086000000.0,-255000000.0,5305000000.0,1364000000.0,150000000.0,-1772000000.0,-447000000.0,-131000000.0,-1000000.0,-4127000000.0,-1183000000.0
2018-08-31,1114000000.0,365000000.0,144000000.0,-1146000000.0,491000000.0,3770000000.0,4576000000.0,9000000.0,5569000000.0,1477000000.0,138000000.0,-1146000000.0,-250000000.0,-198000000.0,-1000000.0,-1504000000.0,-1106000000.0
2017-08-31,72000000.0,-65000000.0,-2230000000.0,-1052000000.0,-10000000.0,3315000000.0,1660000000.0,150000000.0,4793000000.0,1304000000.0,29000000.0,-1052000000.0,-324000000.0,189000000.0,-1000000.0,-947000000.0,-2303000000.0
