,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome
2021-03-31,-36657000000.0,88237000000.0,-82071000000.0,218339000000.0,210822000000.0,-150494000000.0,4923000000.0,81098000000.0,-41053000000.0,-39000000.0,8599000000.0,-178403000000.0,24291000000.0,-1657000000.0,-23313000000.0,-246508000000.0,10912000000.0,24973000000.0
2020-03-31,2519000000.0,5711000000.0,-70887000000.0,179962000000.0,181626000000.0,218450000000.0,4923000000.0,37487000000.0,129781000000.0,-14000000.0,-7807000000.0,26849000000.0,15904000000.0,-23207000000.0,-22860000000.0,-260599000000.0,24538000000.0,-18436000000.0
2019-03-31,-18202000000.0,-5754000000.0,-54731000000.0,425551000000.0,407746000000.0,84933000000.0,4923000000.0,52548000000.0,276826000000.0,-29461000000.0,-4524000000.0,-71665000000.0,10082000000.0,-7754000000.0,-20169000000.0,-215925000000.0,31825000000.0,-28038000000.0
2018-03-31,12959000000.0,12017000000.0,7881000000.0,83881000000.0,74575000000.0,60318000000.0,4923000000.0,46684000000.0,45576000000.0,-9637000000.0,-3645000000.0,-33235000000.0,11143000000.0,5822000000.0,-11390000000.0,-172647000000.0,11721000000.0,-15876000000.0
