,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Change To Operating Activities
2021-03-31,-2458000000.0,6938000000.0,-176552000000.0,-72156000000.0,-157352000000.0,193132000000.0,229847000000.0,-367000000.0,21632000000.0,542119000000.0,221146000000.0,-19400000000.0,-77283000000.0,-28115000000.0,83169000000.0,-7546000000.0,65849000000.0,-168920000000.0,
2020-03-31,-6332000000.0,-28582000000.0,-203997000000.0,-8419000000.0,-156454000000.0,221834000000.0,23335000000.0,-785000000.0,-12048000000.0,395834000000.0,210686000000.0,-39000000.0,-85871000000.0,18504000000.0,23956000000.0,-61379000000.0,-59978000000.0,-192833000000.0,-2264000000.0
2019-03-31,-1480000000.0,-20792000000.0,-210668000000.0,-24969000000.0,-112067000000.0,226648000000.0,-84975000000.0,-1055000000.0,-2057000000.0,239817000000.0,176247000000.0,4669000000.0,-85871000000.0,-82718000000.0,-13949000000.0,-172000000.0,-71555000000.0,-188042000000.0,14930000000.0
2018-03-31,27554000000.0,-48428000000.0,-178219000000.0,-49980000000.0,-128291000000.0,271880000000.0,-63270000000.0,-700000000.0,2790000000.0,240450000000.0,154559000000.0,-20274000000.0,-68696000000.0,-95357000000.0,-45827000000.0,-8915000000.0,44625000000.0,-186792000000.0,-41002000000.0
