,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Repurchase Of Stock,Net Borrowings,Issuance Of Stock
2020-03-31,8564000000.0,0.0,3762000000.0,221117000000.0,-204691000000.0,24270000000.0,38981000000.0,-15000000.0,-185883000000.0,4664000000.0,339000000.0,-5938000000.0,227055000000.0,-20838000000.0,-2369000000.0,,,
2019-03-31,202409000000.0,0.0,192018000000.0,17093000000.0,-319035000000.0,25581000000.0,-78260000000.0,-94000000.0,-287278000000.0,4678000000.0,-2058000000.0,-5934000000.0,23027000000.0,-9495000000.0,-5539000000.0,,,
2018-03-31,385094000000.0,0.0,380803000000.0,137775000000.0,-262255000000.0,25809000000.0,257519000000.0,2000000.0,-261112000000.0,6610000000.0,1300000000.0,-6242000000.0,144872000000.0,-41932000000.0,-3545000000.0,-855000000.0,,
2017-03-31,196762000000.0,0.0,187634000000.0,265836000000.0,71222000000.0,31207000000.0,536865000000.0,46000000.0,83348000000.0,4501000000.0,31000000.0,-6857000000.0,282323000000.0,-36314000000.0,-5964000000.0,-7000000.0,-10000000000.0,377000000.0
