,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Issuance Of Stock,Repurchase Of Stock
2021-03-31,-14504000000.0,3386000000.0,-12349000000.0,66526000000.0,-12070000000.0,-35390000000.0,70145000000.0,185626000000.0,2124000000.0,207921000000.0,102080000000.0,-104186000000.0,-42190000000.0,10557000000.0,-36406000000.0,-15327000000.0,-28578000000.0,,
2020-03-31,-41089000000.0,73784000000.0,-503034000000.0,753657000000.0,593410000000.0,105057000000.0,81675000000.0,333316000000.0,-338000000.0,243278000000.0,83419000000.0,1756000000.0,-45036000000.0,-120141000000.0,-43014000000.0,-34517000000.0,-34361000000.0,454498000000.0,-526695000000.0
2019-03-31,-23932000000.0,50274000000.0,-212193000000.0,25000000000.0,-263305000000.0,74402000000.0,78677000000.0,-321540000000.0,515000000.0,149957000000.0,52498000000.0,-119565000000.0,-50463000000.0,-107463000000.0,-16828000000.0,-43124000000.0,-41771000000.0,454498000000.0,-221014000000.0
2018-03-31,-11010000000.0,42395000000.0,232556000000.0,77121000000.0,21289000000.0,-60786000000.0,131153000000.0,325257000000.0,-562000000.0,75457000000.0,44404000000.0,-26705000000.0,-50439000000.0,-71806000000.0,-5393000000.0,-71927000000.0,-43284000000.0,454498000000.0,-221014000000.0
