,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Net Borrowings,Repurchase Of Stock
2020-03-31,26177000000.0,0.0,40173000000.0,-39249000000.0,131022000000.0,20383000000.0,147996000000.0,-1000000.0,147073000000.0,3695000000.0,16955000000.0,-7552000000.0,-31697000000.0,-16279000000.0,-2067000000.0,,
2019-03-31,34365000000.0,0.0,49499000000.0,210827000000.0,-220017000000.0,31681000000.0,53683000000.0,1000000.0,-206644000000.0,4204000000.0,18001000000.0,-4530000000.0,231357000000.0,-35751000000.0,-2489000000.0,-16000000000.0,
2018-03-31,1246000000.0,0.0,-2165000000.0,210324000000.0,-159367000000.0,19323000000.0,23410000000.0,-5000000.0,-184742000000.0,4510000000.0,2000000.0,-4537000000.0,232360000000.0,-58139000000.0,-2100000000.0,-13000000000.0,-4499000000.0
2017-03-31,88528000000.0,0.0,38001000000.0,369119000000.0,-196726000000.0,18601000000.0,231188000000.0,-1000000.0,-175931000000.0,4701000000.0,-47022000000.0,-4536000000.0,376655000000.0,-12056000000.0,-3143000000.0,-3000000000.0,-4499000000.0
