,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Net Borrowings
2020-12-31,2192000000.0,-4157000000.0,-1229000000.0,-8281000000.0,509000000.0,11442000000.0,6029000000.0,-5193000000.0,20734000000.0,5470000000.0,-10000000.0,-7961000000.0,3034000000.0,5384000000.0,-320000000.0,-6794000000.0,-3212000000.0,
2019-12-31,33764000000.0,-2193000000.0,29645000000.0,-5908000000.0,1977000000.0,24437000000.0,53546000000.0,-645000000.0,30455000000.0,5153000000.0,226000000.0,-5793000000.0,1948000000.0,-173000000.0,-115000000.0,-10520000000.0,-3819000000.0,
2018-12-31,22018000000.0,2407000000.0,16478000000.0,-5047000000.0,4729000000.0,25717000000.0,39349000000.0,-2285000000.0,30203000000.0,5994000000.0,-106000000.0,-5069000000.0,-4494000000.0,-1885000000.0,22000000.0,-12638000000.0,-4449000000.0,
2017-12-31,-27507000000.0,4287000000.0,-34066000000.0,-4966000000.0,4253000000.0,23144000000.0,-3826000000.0,329000000.0,34877000000.0,5877000000.0,-478000000.0,-5068000000.0,-1968000000.0,-2836000000.0,-32000000.0,-10038000000.0,-5448000000.0,134000000.0
