,Net Income,Change To Liabilities,Investments,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Change In Cash,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2021-03-31,-1861000000.0,0.0,,,,,,,,,,,,,,,
2020-03-31,20811000000.0,3506000000.0,-1111000000.0,-48915000000.0,-10788000000.0,-14853000000.0,-71000000.0,-4833000000.0,58935000000.0,29187000000.0,6142000000.0,-3393000000.0,-274000000.0,5175000000.0,-672000000.0,-9115000000.0,-55981000000.0
2019-03-31,13023000000.0,-4397000000.0,-669000000.0,-45219000000.0,12586000000.0,8632000000.0,9751000000.0,2143000000.0,38729000000.0,27911000000.0,9898000000.0,-3390000000.0,3698000000.0,-8302000000.0,-564000000.0,-5454000000.0,-55918000000.0
2018-03-31,14719000000.0,2684000000.0,489000000.0,-40669000000.0,-12464000000.0,-16429000000.0,1087000000.0,1379000000.0,58477000000.0,27122000000.0,7359000000.0,-3388000000.0,-51000000.0,6512000000.0,-577000000.0,-2706000000.0,-48688000000.0
