,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Account Receivables,Change To Netincome,Capital Expenditures,Net Borrowings,Other Cashflows From Financing Activities
2020-12-31,-49000000.0,-48000000.0,-1342000000.0,-849000000.0,77000000.0,1014000000.0,-211000000.0,-1000000.0,1981000000.0,996000000.0,10000000.0,-849000000.0,14000000.0,-466000000.0,-66000000.0,,
2019-12-31,-2000000.0,-57000000.0,-906000000.0,-840000000.0,98000000.0,1694000000.0,930000000.0,-1000000.0,2678000000.0,1002000000.0,-104000000.0,-840000000.0,-132000000.0,-473000000.0,-14000000.0,,
2018-12-31,-2000000.0,100000000.0,-1047000000.0,-843000000.0,25000000.0,1552000000.0,1221000000.0,-1000000.0,3113000000.0,1248000000.0,-8000000.0,-793000000.0,-125000000.0,-351000000.0,-29000000.0,-50000000.0,
2017-12-31,-2000000.0,24000000.0,-1818000000.0,-457000000.0,-133000000.0,384000000.0,253000000.0,-1000000.0,2529000000.0,1377000000.0,-8000000.0,-756000000.0,81000000.0,610000000.0,-30000000.0,300000000.0,-1000000.0
