,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Issuance Of Stock
2020-03-31,-54047000000.0,-74373000000.0,-128249000000.0,127540000000.0,4560000000.0,-18228000000.0,13726000000.0,-58474000000.0,-97078000000.0,-3239000000.0,68453000000.0,72630000000.0,16483000000.0,-15028000000.0,-56511000000.0,101766000000.0,-10874000000.0,10838000000.0,-73444000000.0,
2019-03-31,-56757000000.0,-59620000000.0,-168052000000.0,22053000000.0,-88517000000.0,30916000000.0,64012000000.0,-175203000000.0,-85164000000.0,1685000000.0,78305000000.0,78849000000.0,1192000000.0,-21076000000.0,2371000000.0,-39064000000.0,-4330000000.0,6425000000.0,-126724000000.0,
2018-03-31,-19737000000.0,61090000000.0,-126006000000.0,-24399000000.0,-29133000000.0,-24306000000.0,70225000000.0,-49475000000.0,-32000000.0,852000000.0,105270000000.0,76116000000.0,-4161000000.0,-21076000000.0,4802000000.0,-85373000000.0,-4702000000.0,-16475000000.0,-102063000000.0,
2017-03-31,-812000000.0,73948000000.0,-90677000000.0,-79455000000.0,272199000000.0,58387000000.0,-24877000000.0,303945000000.0,-29978000000.0,-4443000000.0,127231000000.0,68235000000.0,-7661000000.0,-21076000000.0,-27446000000.0,-83914000000.0,-5487000000.0,38608000000.0,-77397000000.0,387119000000.0
