,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2021-02-28,2782000000.0,-1952000000.0,-29983000000.0,-128230000000.0,-140642000000.0,129218000000.0,8689000000.0,57553000000.0,224000000.0,227954000000.0,80778000000.0,2490000000.0,-15009000000.0,992000000.0,2597000000.0,10229000000.0,-26293000000.0
2020-02-29,114000000.0,-897000000.0,-49074000000.0,-86750000000.0,-163910000000.0,80913000000.0,20108000000.0,-10652000000.0,-371000000.0,202703000000.0,79183000000.0,-1935000000.0,-20262000000.0,-205000000.0,-56898000000.0,13390000000.0,-33851000000.0
2019-02-28,1401000000.0,46861000000.0,-81017000000.0,344216000000.0,277937000000.0,-21564000000.0,25585000000.0,324115000000.0,-1409000000.0,128594000000.0,66844000000.0,-15199000000.0,-25514000000.0,-2707000000.0,-40765000000.0,-716000000.0,-43284000000.0
2018-02-28,1401000000.0,7531000000.0,-91209000000.0,5160000000.0,-61238000000.0,8427000000.0,26828000000.0,-37571000000.0,173000000.0,113938000000.0,58601000000.0,-23937000000.0,-25258000000.0,-6574000000.0,-41140000000.0,2363000000.0,-41536000000.0
