,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2020-05-15,703000000.0,8556000000.0,-16927000000.0,-2424000000.0,-10473000000.0,3417000000.0,301000000.0,27899000000.0,13235000000.0,40636000000.0,11502000000.0,-3320000000.0,-7205000000.0,-9931000000.0,-4408000000.0,-1145000000.0,-12347000000.0,-14148000000.0
2019-05-15,18000000.0,5303000000.0,-24990000000.0,-1768000000.0,-9136000000.0,-298000000.0,721000000.0,24824000000.0,-425000000.0,33701000000.0,11509000000.0,-4795000000.0,-7192000000.0,-10845000000.0,-2933000000.0,-897000000.0,-10956000000.0,-9053000000.0
2018-05-15,11020000000.0,961000000.0,-17028000000.0,-1206000000.0,-8538000000.0,-614000000.0,788000000.0,24798000000.0,1632000000.0,27199000000.0,8934000000.0,-3368000000.0,-7500000000.0,-7472000000.0,-2321000000.0,-620000000.0,-12942000000.0,-9760000000.0
2017-05-15,-12307000000.0,-25419000000.0,-24365000000.0,-1206000000.0,-6160000000.0,-2566000000.0,1102000000.0,24433000000.0,-26825000000.0,3700000000.0,7579000000.0,-3944000000.0,-5650000000.0,-7041000000.0,3675000000.0,-406000000.0,-10197000000.0,-8254000000.0
