,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2021-03-31,7739000000.0,-215813000000.0,-91613000000.0,-141121000000.0,79001000000.0,147202000000.0,27332000000.0,-227000000.0,119000000.0,384148000000.0,182663000000.0,-3227000000.0,-37767000000.0,-5080000000.0,538000000.0,-11514000000.0,-73021000000.0,-211936000000.0
2020-03-31,59144000000.0,-647622000000.0,42516000000.0,-5851000000.0,-124624000000.0,163472000000.0,-402483000000.0,-468000000.0,10000000.0,255896000000.0,178171000000.0,-416637000000.0,-37747000000.0,-14724000000.0,37391000000.0,-10152000000.0,-90357000000.0,-230985000000.0
2019-03-31,615000000.0,-368361000000.0,375768000000.0,337260000000.0,14402000000.0,79422000000.0,265171000000.0,-122000000.0,-133000000.0,296406000000.0,256465000000.0,-15269000000.0,-30193000000.0,-16002000000.0,-50312000000.0,-8193000000.0,-21691000000.0,-350624000000.0
2018-03-31,23685000000.0,-344467000000.0,-79419000000.0,-88670000000.0,55241000000.0,74372000000.0,-9065000000.0,-696000000.0,-87000000.0,424159000000.0,267828000000.0,-19935000000.0,-22681000000.0,-6055000000.0,-51199000000.0,14126000000.0,29464000000.0,-324582000000.0
