,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Repurchase Of Stock
2021-03-31,8621000000.0,-11753000000.0,-183792000000.0,-27614000000.0,-80968000000.0,-1493000000.0,1000000.0,90214000000.0,-32893000000.0,11046000000.0,220821000000.0,109058000000.0,-1362000000.0,-52351000000.0,10156000000.0,-6968000000.0,-1004000000.0,31607000000.0,-122838000000.0,
2020-03-31,55144000000.0,-15442000000.0,-145551000000.0,32951000000.0,-157126000000.0,35808000000.0,4745000000.0,107721000000.0,-93194000000.0,-5147000000.0,214630000000.0,92748000000.0,-91498000000.0,-62017000000.0,4772000000.0,7170000000.0,-132779000000.0,-22272000000.0,-107135000000.0,-26000000.0
2019-03-31,91939000000.0,-11028000000.0,-47121000000.0,-74000000.0,-89056000000.0,26928000000.0,4745000000.0,103210000000.0,87876000000.0,4028000000.0,220025000000.0,63889000000.0,-23287000000.0,-48064000000.0,24597000000.0,25016000000.0,-898000000.0,-24233000000.0,-111040000000.0,-40020000000.0
2018-03-31,110765000000.0,9854000000.0,-53128000000.0,-2808000000.0,-51620000000.0,18691000000.0,4745000000.0,81789000000.0,48743000000.0,-5462000000.0,158953000000.0,82804000000.0,932000000.0,-47936000000.0,-49132000000.0,-29547000000.0,-876000000.0,33503000000.0,-84195000000.0,-40020000000.0
