,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Investments
2021-03-31,-51569000000.0,-81894000000.0,-141891000000.0,-229479000000.0,47389000000.0,120589000000.0,7737000000.0,-9163000000.0,12267000000.0,306843000000.0,72652000000.0,3632000000.0,-76157000000.0,-2318000000.0,22161000000.0,-2268000000.0,97939000000.0,-31384000000.0,
2020-03-31,-21363000000.0,-389793000000.0,326000000000.0,181055000000.0,-10400000000.0,195411000000.0,7317000000.0,-52899000000.0,-5942000000.0,221998000000.0,66396000000.0,1935000000.0,-73539000000.0,-6038000000.0,-16391000000.0,-18507000000.0,-35556000000.0,-41267000000.0,
2019-03-31,40828000000.0,-41757000000.0,326000000000.0,-233681000000.0,20000000.0,222265000000.0,-20657000000.0,-160442000000.0,-2118000000.0,258630000000.0,63458000000.0,8714000000.0,-72066000000.0,-5480000000.0,-25640000000.0,-1173000000.0,-63523000000.0,-25190000000.0,
2018-03-31,-43804000000.0,-121799000000.0,326000000000.0,-203429000000.0,69723000000.0,164679000000.0,-9192000000.0,-130712000000.0,3421000000.0,312614000000.0,64863000000.0,-5277000000.0,-71634000000.0,37830000000.0,-6634000000.0,-1083000000.0,-27477000000.0,-25077000000.0,6277000000.0
