,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2020-12-31,21914000000.0,-3224000000.0,-64025000000.0,104889000000.0,91508000000.0,39504000000.0,105000000.0,2570000000.0,106116000000.0,-2000000.0,-1541000000.0,79947000000.0,62459000000.0,-1093000000.0,-14784000000.0,16731000000.0,2637000000.0,1300000000.0,-47287000000.0,-83490000000.0
2019-12-31,894000000.0,-5182000000.0,-89369000000.0,20184000000.0,-1517000000.0,49535000000.0,55000000.0,-1956000000.0,4621000000.0,-6617000000.0,-70000000.0,95577000000.0,58158000000.0,-1773000000.0,-14595000000.0,-781000000.0,5724000000.0,-544000000.0,-14770000000.0,-87105000000.0
2018-12-31,-118975000000.0,-2082000000.0,-186982000000.0,130855000000.0,114088000000.0,-5149000000.0,59000000.0,33560000000.0,1110000000.0,-3735000000.0,-1210000000.0,75171000000.0,56698000000.0,-624000000.0,-14691000000.0,-9096000000.0,-1001000000.0,1600000000.0,-14240000000.0,-65957000000.0
2017-12-31,-21390000000.0,3031000000.0,-79896000000.0,147000000.0,-17176000000.0,7850000000.0,529000000.0,53601000000.0,-13156000000.0,-2892000000.0,-882000000.0,84606000000.0,42965000000.0,-2099000000.0,-14420000000.0,-13601000000.0,-7294000000.0,-540000000.0,-16486000000.0,-55419000000.0
