,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2020-03-31,-166486000000.0,0.0,-176751000000.0,-25589000000.0,-113879000000.0,22077000000.0,-326326000000.0,-3000000000.0,-3000000.0,-123981000000.0,5842000000.0,-4533000000.0,-6928000000.0,-15661000000.0,-31554000000.0,-7213000000.0
2019-03-31,-251806000000.0,0.0,-277325000000.0,146613000000.0,761257000000.0,22492000000.0,624733000000.0,-4004000000.0,4000000.0,755441000000.0,5959000000.0,-19973000000.0,-6502000000.0,157119000000.0,-46082000000.0,-6964000000.0
2018-03-31,-14797000000.0,0.0,-18784000000.0,188598000000.0,289536000000.0,25840000000.0,462847000000.0,-1846000000.0,-5000000.0,293039000000.0,6161000000.0,2047000000.0,-7094000000.0,197538000000.0,-43236000000.0,-7721000000.0
2017-03-31,183131000000.0,0.0,178511000000.0,119583000000.0,67592000000.0,26312000000.0,442915000000.0,-1846000000.0,-1000000.0,144823000000.0,6169000000.0,1149000000.0,-7600000000.0,127183000000.0,34643000000.0,-7224000000.0
