,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2020-05-31,25736000000.0,-26956000000.0,-1486000000.0,-5405000000.0,4113000000.0,21435000000.0,33100000000.0,65461000000.0,13562000000.0,-1008000000.0,-2077000000.0,-295000000.0,289000000.0,-1842000000.0,-8346000000.0,-25948000000.0
2019-05-31,5734000000.0,-30042000000.0,-3199000000.0,-6982000000.0,666000000.0,19185000000.0,-2646000000.0,34379000000.0,12958000000.0,-1414000000.0,-1781000000.0,-4725000000.0,-306000000.0,-2002000000.0,-7087000000.0,-29040000000.0
2018-05-31,13326000000.0,-30458000000.0,-4486000000.0,-8188000000.0,-749000000.0,17633000000.0,-6060000000.0,32586000000.0,11885000000.0,-1193000000.0,-1781000000.0,-8710000000.0,-68000000.0,-1921000000.0,-8265000000.0,-29451000000.0
2017-05-31,9263000000.0,-28404000000.0,-4951000000.0,-8088000000.0,1023000000.0,18215000000.0,445000000.0,36938000000.0,10710000000.0,-275000000.0,-1385000000.0,-1824000000.0,5000000.0,-1752000000.0,-7976000000.0,-28667000000.0
