,Net Income,Change To Liabilities,Investments,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2021-03-31,-24965000000.0,0.0,,,,,,,,,,,,,,,,,
2020-03-31,35530000000.0,3399000000.0,1047000000.0,-75621000000.0,1454000000.0,-22577000000.0,-15557000000.0,2927000000.0,-10458000000.0,-10000000.0,101136000000.0,55442000000.0,16525000000.0,-7920000000.0,7368000000.0,7931000000.0,-5653000000.0,-11604000000.0,-93721000000.0
2019-03-31,28024000000.0,361000000.0,-9108000000.0,-76094000000.0,16641000000.0,-8598000000.0,-6264000000.0,3468000000.0,-27000000.0,-30000000.0,88191000000.0,53477000000.0,9862000000.0,-7390000000.0,-3637000000.0,452000000.0,-17822000000.0,2186000000.0,-78999000000.0
2018-03-31,36025000000.0,-210000000.0,8000000.0,-66951000000.0,-1466000000.0,-34111000000.0,-8837000000.0,-9106000000.0,-10036000000.0,-11000000.0,91967000000.0,52499000000.0,13942000000.0,-7491000000.0,-4259000000.0,-2803000000.0,-15118000000.0,-1893000000.0,-85090000000.0
