,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2020-03-31,-3452000000.0,-11261000000.0,-107250000000.0,10133000000.0,-728000000.0,-12145000000.0,32623000000.0,-16872000000.0,-1625000000.0,100723000000.0,87765000000.0,-496000000.0,-6570000000.0,2835000000.0,10292000000.0,-4291000000.0,-23893000000.0,-155104000000.0
2019-03-31,-105183000000.0,-50151000000.0,-198341000000.0,75094000000.0,70520000000.0,-59210000000.0,26875000000.0,-70435000000.0,2137000000.0,55248000000.0,90138000000.0,-7627000000.0,-3599000000.0,2333000000.0,33490000000.0,-975000000.0,-8130000000.0,-155683000000.0
2018-03-31,-39259000000.0,6218000000.0,-100851000000.0,14665000000.0,9243000000.0,51792000000.0,-47380000000.0,2746000000.0,-4025000000.0,98380000000.0,86629000000.0,-666000000.0,-1214000000.0,-2423000000.0,4690000000.0,-4208000000.0,-19817000000.0,-142570000000.0
2017-03-31,13205000000.0,-573000000.0,-73941000000.0,94730000000.0,87129000000.0,-69307000000.0,5257000000.0,27394000000.0,-3454000000.0,17623000000.0,87190000000.0,2875000000.0,-4258000000.0,-8691000000.0,-1683000000.0,-3343000000.0,-12616000000.0,-143177000000.0
