,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2021-03-31,68252000000.0,-100568000000.0,-86417000000.0,-136191000000.0,-26950000000.0,121977000000.0,12538000000.0,-128000000.0,30141000000.0,219156000000.0,96802000000.0,1408000000.0,-35145000000.0,-9416000000.0,-28979000000.0,-14501000000.0,-2530000000.0,-88911000000.0
2020-03-31,-24111000000.0,-311513000000.0,186116000000.0,128546000000.0,-9480000000.0,60084000000.0,-35281000000.0,-18458000000.0,-20363000000.0,168049000000.0,80773000000.0,2544000000.0,-32372000000.0,2993000000.0,25005000000.0,-6740000000.0,26702000000.0,-132926000000.0
2019-03-31,-27391000000.0,-160844000000.0,23245000000.0,-32683000000.0,-7487000000.0,109960000000.0,-23680000000.0,-26145000000.0,-386000000.0,170233000000.0,65885000000.0,-4681000000.0,-29513000000.0,-12922000000.0,33280000000.0,-270000000.0,3777000000.0,-120555000000.0
2018-03-31,47809000000.0,-113915000000.0,-82684000000.0,-116858000000.0,-8075000000.0,130834000000.0,-55633000000.0,-7008000000.0,-428000000.0,175568000000.0,64071000000.0,-315000000.0,-26670000000.0,-24398000000.0,-30632000000.0,-496000000.0,-8710000000.0,-90841000000.0
