,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2020-03-31,-1713288000000.0,0.0,-2546411000000.0,186071000000.0,1543105000000.0,747001000000.0,259763000000.0,-2175000000.0,-50940000000.0,3022000000.0,997623000000.0,104574000000.0,-351758000000.0,-154799000000.0,1562773000000.0,-208079000000.0,-24709000000.0
2019-03-31,-189417000000.0,0.0,-566757000000.0,-3537000000.0,-379067000000.0,640057000000.0,274579000000.0,-5404000000.0,-102318000000.0,-5017000000.0,945437000000.0,99123000000.0,-411024000000.0,-172397000000.0,-100815000000.0,-179476000000.0,-23910000000.0
2018-03-31,-165306000000.0,0.0,-359669000000.0,-144297000000.0,-631662000000.0,660232000000.0,284183000000.0,-80160000000.0,-125091000000.0,-4853000000.0,916025000000.0,109828000000.0,-411281000000.0,-113855000000.0,-248419000000.0,-191588000000.0,-15376000000.0
2017-03-31,-795894000000.0,0.0,-1455621000000.0,101563000000.0,365396000000.0,509371000000.0,273856000000.0,-175552000000.0,-25081000000.0,-18163000000.0,941621000000.0,146866000000.0,-255452000000.0,-94244000000.0,383158000000.0,-101578000000.0,-25371000000.0
