,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Net Borrowings,Issuance Of Stock
2020-03-31,-293065000000.0,0.0,-307397000000.0,177911000000.0,113160000000.0,38703000000.0,251170000000.0,-8623000000.0,-8000000.0,380666000000.0,11852000000.0,-98000000.0,-12719000000.0,199253000000.0,180934000000.0,-2650000000.0,,
2019-03-31,210499000000.0,0.0,199753000000.0,196160000000.0,-215176000000.0,46874000000.0,196750000000.0,-10070000000.0,-73000000.0,-199090000000.0,13239000000.0,-456000000.0,-13051000000.0,272401000000.0,-45324000000.0,-3350000000.0,-53120000000.0,
2018-03-31,-155659000000.0,0.0,-170100000000.0,306779000000.0,-244809000000.0,50130000000.0,-21857000000.0,-9789000000.0,74000000.0,-158612000000.0,14166000000.0,-400000000.0,-11975000000.0,294542000000.0,362000000.0,-3943000000.0,33900000000.0,101000000.0
2017-03-31,795968000000.0,0.0,773271000000.0,227022000000.0,-565298000000.0,29276000000.0,461604000000.0,-8533000000.0,-5000000.0,-538683000000.0,11631000000.0,-102000000.0,-12256000000.0,247803000000.0,-30435000000.0,-10863000000.0,33900000000.0,8000000.0
