,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Issuance Of Stock
2020-03-31,1238000000.0,8731000000.0,-43540000000.0,8745000000.0,-28758000000.0,8502000000.0,45975000000.0,8314000000.0,-15059000000.0,-5874000000.0,86486000000.0,46245000000.0,-574000000.0,-11624000000.0,-16612000000.0,-3968000000.0,-10820000000.0,-14501000000.0,-47295000000.0,
2019-03-31,-2371000000.0,-5786000000.0,-54190000000.0,5436000000.0,-13334000000.0,-6355000000.0,60142000000.0,33655000000.0,-10700000000.0,457000000.0,100722000000.0,36398000000.0,-16000000.0,-11329000000.0,10611000000.0,10353000000.0,-213000000.0,-15820000000.0,-52268000000.0,3472000000.0
2018-03-31,-1498000000.0,10152000000.0,-59453000000.0,-7307000000.0,-27026000000.0,5826000000.0,59382000000.0,9870000000.0,-8377000000.0,-533000000.0,96606000000.0,32841000000.0,74000000.0,-8410000000.0,-23887000000.0,5806000000.0,-4273000000.0,-5362000000.0,-50775000000.0,1341000000.0
2017-03-31,-16477000000.0,6479000000.0,-46800000000.0,-9346000000.0,-17339000000.0,-387000000.0,41146000000.0,49690000000.0,-14000000.0,-1768000000.0,83125000000.0,29265000000.0,-256000000.0,-6368000000.0,25848000000.0,-15179000000.0,-2548000000.0,-4047000000.0,-29217000000.0,937000000.0
