,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Issuance Of Stock
2020-03-31,-175575000000.0,24948000000.0,-188433000000.0,-111031000000.0,83777000000.0,258641000000.0,36024000000.0,-43000000.0,-12264000000.0,347753000000.0,9557000000.0,-3848000000.0,-108331000000.0,43230000000.0,-55372000000.0,-2657000000.0,-119660000000.0,-9843000000.0,
2019-03-31,56550000000.0,-50006000000.0,45353000000.0,-109037000000.0,11677000000.0,194009000000.0,100897000000.0,-31038000000.0,-5948000000.0,170529000000.0,9564000000.0,-460000000.0,-77980000000.0,8484000000.0,-8416000000.0,-19000000.0,-72546000000.0,-10736000000.0,
2018-03-31,73262000000.0,9014000000.0,61387000000.0,-61311000000.0,26446000000.0,139590000000.0,153506000000.0,-78000000.0,1222000000.0,152208000000.0,9064000000.0,-3250000000.0,-64829000000.0,-107454000000.0,51585000000.0,-13000000.0,-37537000000.0,-9609000000.0,3609000000.0
2017-03-31,87425000000.0,52740000000.0,69518000000.0,-14435000000.0,11267000000.0,102574000000.0,72878000000.0,-38000000.0,-1306000000.0,19101000000.0,8366000000.0,-7993000000.0,-14384000000.0,-155000000.0,-65706000000.0,-13000000.0,-102141000000.0,-10458000000.0,3609000000.0
