Date,Open,High,Low,Close,variation,isbuy
2017-01-04,3207.3073893082674,3234.479736328125,3177.2237193934243,3234.479736328125,0.5144226486567404,True
2017-01-05,3236.4204377109572,3238.361319532673,3172.3713375943375,3198.5732421875,0.5150486454039771,True
2017-01-06,3229.62771411339,3274.268001027217,3213.1302167756708,3217.982421875,0.5544954183379026,True
2017-01-10,3246.125629989273,3337.347097618269,3245.155188844284,3293.67724609375,0.5524739026231215,True
2017-01-11,3361.6077590811965,3445.065688434829,3359.666877003205,3406.248046875,0.5559314955092857,True
2017-01-12,3419.834371737418,3456.711132840149,3396.5437857777997,3427.597900390625,0.5570329950710474,True
2017-01-13,3426.6270334045453,3444.0949707031245,3395.572922651517,3444.094970703125,0.555444746285891,True
2017-01-16,3413.0409616417146,3449.917719259681,3400.4252287724107,3410.129638671875,0.5407272643064809,True
2017-01-17,3410.1294582140504,3464.47415077523,3387.8093166264225,3400.425048828125,0.5575185646872061,True
2017-01-18,3348.021847782945,3392.662139086718,3331.5243488228557,3381.016845703125,0.5569716498603969,True
2017-01-19,3420.8046914782776,3420.8046914782776,3364.5191107390615,3394.602783203125,0.5588284839337493,True
2017-01-20,3384.8981494815666,3389.7503543976813,3353.8440380184334,3369.37109375,0.5182485628568485,True
2017-01-23,3369.370859283945,3370.341300199637,3316.9670498365563,3330.55322265625,0.5170870159614721,True
2017-01-24,3341.2283097697386,3367.430216352307,3309.2037572799327,3316.96728515625,0.5518223703816243,True
2017-01-25,3362.5780091306465,3369.371096017779,3319.8786058400988,3343.169189453125,0.4855218264688295,False
2017-01-26,3396.543572165749,3420.804597681219,3381.9869568564677,3415.952392578125,0.5176853722192368,True
2017-01-27,3425.6570231700252,3435.361434000535,3384.8984976818833,3401.39599609375,0.5162188609729133,True
2017-01-30,3371.311784867353,3402.3658945725206,3360.636934656201,3398.484130859375,0.5112081828860491,True
2017-01-31,3262.6229182072557,3350.933056683419,3262.6229182072557,3321.81982421875,0.473606678299286,False
2017-02-01,3251.9478376013794,3321.819590602662,3251.9478376013794,3309.203857421875,0.4767471913623577,False
2017-02-02,3318.908263127505,3333.464878316661,3252.9182742699986,3269.415771484375,0.4830692052365954,False
2017-02-03,3432.4499511718745,3493.587736561705,3403.3367200338603,3432.449951171875,0.49270379291212585,False
2017-02-06,3479.030833824925,3503.291857770705,3466.4151013731193,3482.91259765625,0.49158745348393484,False
2017-02-07,3512.025762161038,3518.8188487416205,3484.853415838709,3492.616943359375,0.4896805169297204,False
2017-02-08,3479.0312793132744,3481.9426025595612,3445.065841439923,3467.385986328125,0.5094741765245067,True
2017-02-09,3458.651557234625,3482.9125810648347,3437.3018562640414,3455.740234375,0.5041255409681357,True
2017-02-10,3497.468985027855,3501.3507486072426,3469.326199077298,3483.8828125,0.49881858403408774,False
2017-02-13,3499.4103031291384,3509.114713287566,3462.5335445271116,3480.971923828125,0.48540700320725827,False
2017-02-14,3500.3802254432258,3500.3802254432258,3463.5034723057597,3466.414794921875,0.4889361848083088,False
2017-02-15,3497.4690757019307,3497.4690757019307,3469.326289021753,3488.735107421875,0.4832942840096198,False
2017-02-16,3493.587166432584,3493.587166432584,3433.419831899578,3454.76953125,0.48877920307973766,False
2017-02-17,3422.7452337169834,3456.7106669974187,3412.070383257418,3442.154052734375,0.5163903789586256,True
2017-02-20,3421.7750674240133,3426.6272725678364,3397.514041704898,3404.30712890625,0.4892884626764193,False
2017-02-21,3413.0408435963463,3427.59745794208,3387.809378730408,3416.922607421875,0.5213395577192231,True
2017-02-22,3463.503781658858,3484.8534827506187,3421.774820434053,3430.5087890625,0.5238023799560516,True
2017-02-23,3409.1587276626947,3420.8040179365216,3396.542996532717,3411.099609375,0.5047615386349216,True
2017-02-24,3410.129622984124,3420.8044738244275,3379.075511448697,3382.957275390625,0.5251586078562636,True
2017-02-27,3340.258027943146,3372.2825819588697,3328.612735573792,3351.9033203125,0.532572104844725,True
2017-02-28,3370.341642584864,3427.597662427221,3370.341642584864,3375.19384765625,0.5071366946289957,True
2017-03-01,3387.809521401357,3437.302012261131,3386.839080404108,3424.686279296875,0.48254214564815784,False
2017-03-02,3486.7942530264445,3507.1735125069767,3462.5332298353333,3477.08984375,0.4700515380476891,False
2017-03-03,3512.9962575045115,3541.139045202752,3482.9125878960467,3495.5283203125,0.4834156682048466,False
2017-03-06,3481.941875877809,3489.705402914325,3447.0060042134833,3454.76953125,0.506557852647846,True
