,Effective Date,Local Code,Name (English),Name (Japanese),Section/Products,33 Sector(Code),33 Sector(name),17 Sector(Code),17 Sector(name),Size Code (New Index Series),Size (New Index Series)
475,20210331,2269,"Meiji Holdings Co.,Ltd.",明治ホールディングス,First Section (Domestic),3050,Foods,1,FOODS ,4,TOPIX Mid400
476,20210331,2270,"MEGMILK SNOW BRAND Co.,Ltd.",雪印メグミルク,First Section (Domestic),3050,Foods,1,FOODS ,4,TOPIX Mid400
478,20210331,2282,NH Foods Ltd.,日本ハム,First Section (Domestic),3050,Foods,1,FOODS ,4,TOPIX Mid400
503,20210331,2331,"SOHGO SECURITY SERVICES CO.,LTD.",綜合警備保障,First Section (Domestic),9050,Services,10,"IT & SERVICES, OTHERS ",4,TOPIX Mid400
522,20210331,2371,"Kakaku.com,Inc.",カカクコム,First Section (Domestic),9050,Services,10,"IT & SERVICES, OTHERS ",4,TOPIX Mid400
545,20210331,2412,Benefit One Inc.,ベネフィット・ワン,First Section (Domestic),9050,Services,10,"IT & SERVICES, OTHERS ",4,TOPIX Mid400
546,20210331,2413,"M3,Inc.",エムスリー,First Section (Domestic),9050,Services,10,"IT & SERVICES, OTHERS ",2,TOPIX Large70
554,20210331,2432,"DeNA Co.,Ltd.",ディー・エヌ・エー,First Section (Domestic),9050,Services,10,"IT & SERVICES, OTHERS ",4,TOPIX Mid400
555,20210331,2433,HAKUHODO DY HOLDINGS INCORPORATED,博報堂ＤＹホールディングス,First Section (Domestic),9050,Services,10,"IT & SERVICES, OTHERS ",4,TOPIX Mid400
585,20210331,2492,Infomart Corporation,インフォマート,First Section (Domestic),9050,Services,10,"IT & SERVICES, OTHERS ",4,TOPIX Mid400
590,20210331,2501,SAPPORO HOLDINGS LIMITED,サッポロホールディングス,First Section (Domestic),3050,Foods,1,FOODS ,4,TOPIX Mid400
591,20210331,2502,"Asahi Group Holdings,Ltd.",アサヒグループホールディングス,First Section (Domestic),3050,Foods,1,FOODS ,2,TOPIX Large70
592,20210331,2503,"Kirin Holdings Company,Limited",キリンホールディングス,First Section (Domestic),3050,Foods,1,FOODS ,2,TOPIX Large70
614,20210331,2531,TAKARA HOLDINGS INC.,宝ホールディングス,First Section (Domestic),3050,Foods,1,FOODS ,4,TOPIX Mid400
636,20210331,2579,Coca-Cola Bottlers Japan Holdings Inc.,コカ・コーラ　ボトラーズジャパンホールディングス,First Section (Domestic),3050,Foods,1,FOODS ,4,TOPIX Mid400
638,20210331,2587,Suntory Beverage & Food Limited,サントリー食品インターナショナル,First Section (Domestic),3050,Foods,1,FOODS ,4,TOPIX Mid400
641,20210331,2593,"ITO EN,LTD.",伊藤園,First Section (Domestic),3050,Foods,1,FOODS ,4,TOPIX Mid400
647,20210331,2607,FUJI OIL HOLDINGS INC.,不二製油グループ本社,First Section (Domestic),3050,Foods,1,FOODS ,4,TOPIX Mid400
666,20210331,2651,"Lawson,Inc.",ローソン,First Section (Domestic),6100,Retail Trade,14,RETAIL TRADE ,4,TOPIX Mid400
677,20210331,2670,"ABC-MART,INC.",エービーシー・マート,First Section (Domestic),6100,Retail Trade,14,RETAIL TRADE ,4,TOPIX Mid400
725,20210331,2768,Sojitz Corporation,双日,First Section (Domestic),6050,Wholesale Trade,13,COMMERCIAL & WHOLESALE TRADE ,4,TOPIX Mid400
733,20210331,2784,Alfresa Holdings Corporation,アルフレッサ　ホールディングス,First Section (Domestic),6050,Wholesale Trade,13,COMMERCIAL & WHOLESALE TRADE ,4,TOPIX Mid400
742,20210331,2801,KIKKOMAN CORPORATION,キッコーマン,First Section (Domestic),3050,Foods,1,FOODS ,4,TOPIX Mid400
743,20210331,2802,"Ajinomoto Co.,Inc.",味の素,First Section (Domestic),3050,Foods,1,FOODS ,2,TOPIX Large70
747,20210331,2809,Kewpie Corporation,キユーピー,First Section (Domestic),3050,Foods,1,FOODS ,4,TOPIX Mid400
748,20210331,2810,House Foods Group Inc.,ハウス食品グループ本社,First Section (Domestic),3050,Foods,1,FOODS ,4,TOPIX Mid400
749,20210331,2811,"KAGOME CO.,LTD.",カゴメ,First Section (Domestic),3050,Foods,1,FOODS ,4,TOPIX Mid400
753,20210331,2815,"ARIAKE JAPAN Co.,Ltd.",アリアケジャパン,First Section (Domestic),3050,Foods,1,FOODS ,4,TOPIX Mid400
760,20210331,2871,NICHIREI CORPORATION,ニチレイ,First Section (Domestic),3050,Foods,1,FOODS ,4,TOPIX Mid400
763,20210331,2875,"TOYO SUISAN KAISHA,LTD.",東洋水産,First Section (Domestic),3050,Foods,1,FOODS ,4,TOPIX Mid400
771,20210331,2897,"NISSIN FOODS HOLDINGS CO.,LTD.",日清食品ホールディングス,First Section (Domestic),3050,Foods,1,FOODS ,4,TOPIX Mid400
781,20210331,2914,JAPAN TOBACCO INC.,日本たばこ産業,First Section (Domestic),3050,Foods,1,FOODS ,2,TOPIX Large70
