,Effective Date,Local Code,Name (English),Name (Japanese),Section/Products,33 Sector(Code),33 Sector(name),17 Sector(Code),17 Sector(name),Size Code (New Index Series),Size (New Index Series)
1742,20210331,4631,DIC Corporation,ＤＩＣ,First Section (Domestic),3200,Chemicals,4,RAW MATERIALS & CHEMICALS ,4,TOPIX Mid400
1757,20210331,4661,"ORIENTAL LAND CO.,LTD.",オリエンタルランド,First Section (Domestic),9050,Services,10,"IT & SERVICES, OTHERS ",2,TOPIX Large70
1760,20210331,4665,"DUSKIN CO.,LTD.",ダスキン,First Section (Domestic),9050,Services,10,"IT & SERVICES, OTHERS ",4,TOPIX Mid400
1761,20210331,4666,"PARK24 Co.,Ltd.",パーク２４,First Section (Domestic),8050,Real Estate,17,REAL ESTATE ,4,TOPIX Mid400
1768,20210331,4676,"FUJI MEDIA HOLDINGS,INC.",フジ・メディア・ホールディングス,First Section (Domestic),5250,Information & Communication,10,"IT & SERVICES, OTHERS ",4,TOPIX Mid400
1772,20210331,4681,"RESORTTRUST,INC.",リゾートトラスト,First Section (Domestic),9050,Services,10,"IT & SERVICES, OTHERS ",4,TOPIX Mid400
1773,20210331,4684,"OBIC Co.,Ltd.",オービック,First Section (Domestic),5250,Information & Communication,10,"IT & SERVICES, OTHERS ",4,TOPIX Mid400
1775,20210331,4686,JUSTSYSTEMS CORPORATION,ジャストシステム,First Section (Domestic),5250,Information & Communication,10,"IT & SERVICES, OTHERS ",4,TOPIX Mid400
1777,20210331,4689,Z Holdings Corporation,Ｚホールディングス,First Section (Domestic),5250,Information & Communication,10,"IT & SERVICES, OTHERS ",2,TOPIX Large70
1783,20210331,4704,Trend Micro Incorporated,トレンドマイクロ,First Section (Domestic),5250,Information & Communication,10,"IT & SERVICES, OTHERS ",4,TOPIX Mid400
1790,20210331,4716,ORACLE CORPORATION JAPAN,日本オラクル,First Section (Domestic),5250,Information & Communication,10,"IT & SERVICES, OTHERS ",4,TOPIX Mid400
1798,20210331,4732,"USS Co.,Ltd.",ユー・エス・エス,First Section (Domestic),9050,Services,10,"IT & SERVICES, OTHERS ",4,TOPIX Mid400
1803,20210331,4739,ITOCHU Techno-Solutions Corporation,伊藤忠テクノソリューションズ,First Section (Domestic),5250,Information & Communication,10,"IT & SERVICES, OTHERS ",4,TOPIX Mid400
1809,20210331,4751,"CyberAgent,Inc.",サイバーエージェント,First Section (Domestic),9050,Services,10,"IT & SERVICES, OTHERS ",4,TOPIX Mid400
1812,20210331,4755,"Rakuten,Inc.",楽天,First Section (Domestic),9050,Services,10,"IT & SERVICES, OTHERS ",4,TOPIX Mid400
1821,20210331,4768,OTSUKA CORPORATION,大塚商会,First Section (Domestic),5250,Information & Communication,10,"IT & SERVICES, OTHERS ",4,TOPIX Mid400
1862,20210331,4901,FUJIFILM Holdings Corporation,富士フイルムホールディングス,First Section (Domestic),3200,Chemicals,4,RAW MATERIALS & CHEMICALS ,2,TOPIX Large70
1863,20210331,4902,"KONICA MINOLTA,INC.",コニカミノルタ,First Section (Domestic),3650,Electric Appliances,9,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS ,4,TOPIX Mid400
1864,20210331,4911,"Shiseido Company,Limited",資生堂,First Section (Domestic),3200,Chemicals,4,RAW MATERIALS & CHEMICALS ,2,TOPIX Large70
1865,20210331,4912,Lion Corporation,ライオン,First Section (Domestic),3200,Chemicals,4,RAW MATERIALS & CHEMICALS ,4,TOPIX Mid400
1869,20210331,4919,"Milbon Co.,Ltd.",ミルボン,First Section (Domestic),3200,Chemicals,4,RAW MATERIALS & CHEMICALS ,4,TOPIX Mid400
1871,20210331,4921,FANCL CORPORATION,ファンケル,First Section (Domestic),3200,Chemicals,4,RAW MATERIALS & CHEMICALS ,4,TOPIX Mid400
1872,20210331,4922,KOSE Corporation,コーセー,First Section (Domestic),3200,Chemicals,4,RAW MATERIALS & CHEMICALS ,4,TOPIX Mid400
1876,20210331,4927,POLA ORBIS HOLDINGS INC.,ポーラ・オルビスホールディングス,First Section (Domestic),3200,Chemicals,4,RAW MATERIALS & CHEMICALS ,4,TOPIX Mid400
1895,20210331,4967,"KOBAYASHI PHARMACEUTICAL CO.,LTD.",小林製薬,First Section (Domestic),3200,Chemicals,4,RAW MATERIALS & CHEMICALS ,4,TOPIX Mid400
1925,20210331,5019,"Idemitsu Kosan Co.,Ltd.",出光興産,First Section (Domestic),3300,Oil and Coal Products,2,ENERGY RESOURCES ,4,TOPIX Mid400
1926,20210331,5020,"ENEOS Holdings,Inc.",ＥＮＥＯＳホールディングス,First Section (Domestic),3300,Oil and Coal Products,2,ENERGY RESOURCES ,2,TOPIX Large70
1927,20210331,5021,"COSMO ENERGY HOLDINGS COMPANY,LIMITED",コスモエネルギーホールディングス,First Section (Domestic),3300,Oil and Coal Products,2,ENERGY RESOURCES ,4,TOPIX Mid400
1932,20210331,5101,"The Yokohama Rubber Company,Limited",横浜ゴム,First Section (Domestic),3350,Rubber Products,6,AUTOMOBILES & TRANSPORTATION EQUIPMENT ,4,TOPIX Mid400
1935,20210331,5105,Toyo Tire Corporation,ＴＯＹＯ　ＴＩＲＥ,First Section (Domestic),3350,Rubber Products,6,AUTOMOBILES & TRANSPORTATION EQUIPMENT ,4,TOPIX Mid400
1936,20210331,5108,BRIDGESTONE CORPORATION,ブリヂストン,First Section (Domestic),3350,Rubber Products,6,AUTOMOBILES & TRANSPORTATION EQUIPMENT ,2,TOPIX Large70
1937,20210331,5110,"Sumitomo Rubber Industries,Ltd.",住友ゴム工業,First Section (Domestic),3350,Rubber Products,6,AUTOMOBILES & TRANSPORTATION EQUIPMENT ,4,TOPIX Mid400
1953,20210331,5201,AGC Inc.,ＡＧＣ,First Section (Domestic),3400,Glass and Ceramics Products,3,CONSTRUCTION & MATERIALS ,4,TOPIX Mid400
1959,20210331,5214,"Nippon Electric Glass Co.,Ltd.",日本電気硝子,First Section (Domestic),3400,Glass and Ceramics Products,3,CONSTRUCTION & MATERIALS ,4,TOPIX Mid400
1963,20210331,5232,"Sumitomo Osaka Cement Co.,Ltd.",住友大阪セメント,First Section (Domestic),3400,Glass and Ceramics Products,3,CONSTRUCTION & MATERIALS ,4,TOPIX Mid400
1964,20210331,5233,TAIHEIYO CEMENT CORPORATION,太平洋セメント,First Section (Domestic),3400,Glass and Ceramics Products,3,CONSTRUCTION & MATERIALS ,4,TOPIX Mid400
1982,20210331,5301,"TOKAI CARBON CO.,LTD.",東海カーボン,First Section (Domestic),3400,Glass and Ceramics Products,3,CONSTRUCTION & MATERIALS ,4,TOPIX Mid400
1987,20210331,5332,TOTO LTD.,ＴＯＴＯ,First Section (Domestic),3400,Glass and Ceramics Products,3,CONSTRUCTION & MATERIALS ,4,TOPIX Mid400
1988,20210331,5333,"NGK INSULATORS,LTD.",日本碍子,First Section (Domestic),3400,Glass and Ceramics Products,3,CONSTRUCTION & MATERIALS ,4,TOPIX Mid400
1989,20210331,5334,"NGK SPARK PLUG CO.,LTD.",日本特殊陶業,First Section (Domestic),3400,Glass and Ceramics Products,3,CONSTRUCTION & MATERIALS ,4,TOPIX Mid400
2010,20210331,5401,NIPPON STEEL CORPORATION,日本製鉄,First Section (Domestic),3450,Iron and Steel,7,STEEL & NONFERROUS METALS ,2,TOPIX Large70
2011,20210331,5406,"Kobe Steel,Ltd.",神戸製鋼所,First Section (Domestic),3450,Iron and Steel,7,STEEL & NONFERROUS METALS ,4,TOPIX Mid400
2014,20210331,5411,"JFE Holdings,Inc.",ジェイ　エフ　イー　ホールディングス,First Section (Domestic),3450,Iron and Steel,7,STEEL & NONFERROUS METALS ,4,TOPIX Mid400
2017,20210331,5444,"YAMATO KOGYO CO.,LTD.",大和工業,First Section (Domestic),3450,Iron and Steel,7,STEEL & NONFERROUS METALS ,4,TOPIX Mid400
2023,20210331,5463,Maruichi Steel Tube Ltd.,丸一鋼管,First Section (Domestic),3450,Iron and Steel,7,STEEL & NONFERROUS METALS ,4,TOPIX Mid400
2025,20210331,5471,"Daido Steel Co.,Ltd.",大同特殊鋼,First Section (Domestic),3450,Iron and Steel,7,STEEL & NONFERROUS METALS ,4,TOPIX Mid400
2031,20210331,5486,"Hitachi Metals,Ltd.",日立金属,First Section (Domestic),3450,Iron and Steel,7,STEEL & NONFERROUS METALS ,4,TOPIX Mid400
2041,20210331,5631,"The Japan Steel Works,Ltd.",日本製鋼所,First Section (Domestic),3600,Machinery,8,MACHINERY ,4,TOPIX Mid400
2053,20210331,5703,"Nippon Light Metal Holdings Company,Ltd.",日本軽金属ホールディングス,First Section (Domestic),3500,Nonferrous Metals,7,STEEL & NONFERROUS METALS ,4,TOPIX Mid400
2055,20210331,5706,"Mitsui Mining and Smelting Company,Limited",三井金属鉱業,First Section (Domestic),3500,Nonferrous Metals,7,STEEL & NONFERROUS METALS ,4,TOPIX Mid400
2057,20210331,5711,Mitsubishi Materials Corporation,三菱マテリアル,First Section (Domestic),3500,Nonferrous Metals,7,STEEL & NONFERROUS METALS ,4,TOPIX Mid400
2058,20210331,5713,"Sumitomo Metal Mining Co.,Ltd.",住友金属鉱山,First Section (Domestic),3500,Nonferrous Metals,7,STEEL & NONFERROUS METALS ,2,TOPIX Large70
2059,20210331,5714,"DOWA HOLDINGS CO.,LTD.",ＤＯＷＡホールディングス,First Section (Domestic),3500,Nonferrous Metals,7,STEEL & NONFERROUS METALS ,4,TOPIX Mid400
2071,20210331,5801,"Furukawa Electric Co.,Ltd.",古河電気工業,First Section (Domestic),3500,Nonferrous Metals,7,STEEL & NONFERROUS METALS ,4,TOPIX Mid400
2072,20210331,5802,"Sumitomo Electric Industries,Ltd.",住友電気工業,First Section (Domestic),3500,Nonferrous Metals,7,STEEL & NONFERROUS METALS ,2,TOPIX Large70
2088,20210331,5901,"Toyo Seikan Group Holdings,Ltd.",東洋製罐グループホールディングス,First Section (Domestic),3550,Metal Products,3,CONSTRUCTION & MATERIALS ,4,TOPIX Mid400
2102,20210331,5929,Sanwa Holdings Corporation,三和ホールディングス,First Section (Domestic),3550,Metal Products,3,CONSTRUCTION & MATERIALS ,4,TOPIX Mid400
2108,20210331,5938,LIXIL Corporation,ＬＩＸＩＬ,First Section (Domestic),3550,Metal Products,3,CONSTRUCTION & MATERIALS ,4,TOPIX Mid400
2116,20210331,5947,RINNAI CORPORATION,リンナイ,First Section (Domestic),3550,Metal Products,3,CONSTRUCTION & MATERIALS ,4,TOPIX Mid400
2148,20210331,5991,"NHK SPRING CO.,LTD.",日本発條,First Section (Domestic),3550,Metal Products,3,CONSTRUCTION & MATERIALS ,4,TOPIX Mid400
2154,20210331,6005,"MIURA CO.,LTD.",三浦工業,First Section (Domestic),3600,Machinery,8,MACHINERY ,4,TOPIX Mid400
2162,20210331,6028,"TechnoPro Holdings,Inc.",テクノプロ・ホールディングス,First Section (Domestic),9050,Services,10,"IT & SERVICES, OTHERS ",4,TOPIX Mid400
2217,20210331,6098,"Recruit Holdings Co.,Ltd.",リクルートホールディングス,First Section (Domestic),9050,Services,10,"IT & SERVICES, OTHERS ",1,TOPIX Core30
2220,20210331,6103,OKUMA Corporation,オークマ,First Section (Domestic),3600,Machinery,8,MACHINERY ,4,TOPIX Mid400
2222,20210331,6113,"AMADA CO.,LTD.",アマダ,First Section (Domestic),3600,Machinery,8,MACHINERY ,4,TOPIX Mid400
2227,20210331,6134,FUJI CORPORATION,ＦＵＪＩ,First Section (Domestic),3600,Machinery,8,MACHINERY ,4,TOPIX Mid400
2229,20210331,6136,OSG Corporation,オーエスジー,First Section (Domestic),3600,Machinery,8,MACHINERY ,4,TOPIX Mid400
2233,20210331,6141,"DMG MORI CO.,LTD.",ＤＭＧ森精機,First Section (Domestic),3600,Machinery,8,MACHINERY ,4,TOPIX Mid400
2237,20210331,6146,DISCO CORPORATION,ディスコ,First Section (Domestic),3600,Machinery,8,MACHINERY ,4,TOPIX Mid400
2259,20210331,6178,"JAPAN POST HOLDINGS Co.,Ltd.",日本郵政,First Section (Domestic),9050,Services,10,"IT & SERVICES, OTHERS ",2,TOPIX Large70
2280,20210331,6201,TOYOTA INDUSTRIES CORPORATION,豊田自動織機,First Section (Domestic),3700,Transportation Equipment,6,AUTOMOBILES & TRANSPORTATION EQUIPMENT ,4,TOPIX Mid400
2315,20210331,6268,Nabtesco Corporation,ナブテスコ,First Section (Domestic),3600,Machinery,8,MACHINERY ,4,TOPIX Mid400
2319,20210331,6273,SMC CORPORATION,ＳＭＣ,First Section (Domestic),3600,Machinery,8,MACHINERY ,2,TOPIX Large70
2337,20210331,6301,KOMATSU LTD.,小松製作所,First Section (Domestic),3600,Machinery,8,MACHINERY ,2,TOPIX Large70
2338,20210331,6302,"SUMITOMO HEAVY INDUSTRIES,LTD.",住友重機械工業,First Section (Domestic),3600,Machinery,8,MACHINERY ,4,TOPIX Mid400
2340,20210331,6305,"Hitachi Construction Machinery Co.,Ltd.",日立建機,First Section (Domestic),3600,Machinery,8,MACHINERY ,4,TOPIX Mid400
2354,20210331,6326,KUBOTA CORPORATION,クボタ,First Section (Domestic),3600,Machinery,8,MACHINERY ,2,TOPIX Large70
2380,20210331,6361,EBARA CORPORATION,荏原製作所,First Section (Domestic),3600,Machinery,8,MACHINERY ,4,TOPIX Mid400
2386,20210331,6367,"DAIKIN INDUSTRIES,LTD.",ダイキン工業,First Section (Domestic),3600,Machinery,8,MACHINERY ,1,TOPIX Core30
2389,20210331,6370,Kurita Water Industries Ltd.,栗田工業,First Section (Domestic),3600,Machinery,8,MACHINERY ,4,TOPIX Mid400
2398,20210331,6383,"DAIFUKU CO.,LTD.",ダイフク,First Section (Domestic),3600,Machinery,8,MACHINERY ,4,TOPIX Mid400
2405,20210331,6395,TADANO LTD.,タダノ,First Section (Domestic),3600,Machinery,8,MACHINERY ,4,TOPIX Mid400
2411,20210331,6406,"FUJITEC CO.,LTD.",フジテック,First Section (Domestic),3600,Machinery,8,MACHINERY ,4,TOPIX Mid400
2420,20210331,6417,"SANKYO CO.,LTD.",ＳＡＮＫＹＯ,First Section (Domestic),3600,Machinery,8,MACHINERY ,4,TOPIX Mid400
2430,20210331,6436,Amano Corporation,アマノ,First Section (Domestic),3600,Machinery,8,MACHINERY ,4,TOPIX Mid400
2434,20210331,6448,"BROTHER INDUSTRIES,LTD.",ブラザー工業,First Section (Domestic),3650,Electric Appliances,9,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS ,4,TOPIX Mid400
2437,20210331,6457,GLORY LTD.,グローリー,First Section (Domestic),3600,Machinery,8,MACHINERY ,4,TOPIX Mid400
2440,20210331,6460,SEGA SAMMY HOLDINGS INC.,セガサミーホールディングス,First Section (Domestic),3600,Machinery,8,MACHINERY ,4,TOPIX Mid400
2445,20210331,6465,HOSHIZAKI CORPORATION,ホシザキ,First Section (Domestic),3600,Machinery,8,MACHINERY ,4,TOPIX Mid400
2450,20210331,6471,NSK Ltd.,日本精工,First Section (Domestic),3600,Machinery,8,MACHINERY ,4,TOPIX Mid400
2451,20210331,6472,NTN CORPORATION,ＮＴＮ,First Section (Domestic),3600,Machinery,8,MACHINERY ,4,TOPIX Mid400
2452,20210331,6473,JTEKT Corporation,ジェイテクト,First Section (Domestic),3600,Machinery,8,MACHINERY ,4,TOPIX Mid400
2454,20210331,6479,MINEBEA MITSUMI Inc.,ミネベアミツミ,First Section (Domestic),3650,Electric Appliances,9,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS ,4,TOPIX Mid400
2456,20210331,6481,"THK CO.,LTD.",ＴＨＫ,First Section (Domestic),3600,Machinery,8,MACHINERY ,4,TOPIX Mid400
2471,20210331,6501,"Hitachi,Ltd.",日立製作所,First Section (Domestic),3650,Electric Appliances,9,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS ,1,TOPIX Core30
2472,20210331,6502,TOSHIBA CORPORATION,東芝,First Section (Domestic),3650,Electric Appliances,9,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS ,4,TOPIX Mid400
2473,20210331,6503,Mitsubishi Electric Corporation,三菱電機,First Section (Domestic),3650,Electric Appliances,9,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS ,2,TOPIX Large70
2474,20210331,6504,"FUJI ELECTRIC CO.,LTD.",富士電機,First Section (Domestic),3650,Electric Appliances,9,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS ,4,TOPIX Mid400
2476,20210331,6506,YASKAWA Electric Corporation,安川電機,First Section (Domestic),3650,Electric Appliances,9,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS ,4,TOPIX Mid400
2531,20210331,6586,Makita Corporation,マキタ,First Section (Domestic),3600,Machinery,8,MACHINERY ,4,TOPIX Mid400
2534,20210331,6592,"MABUCHI MOTOR CO.,LTD.",マブチモーター,First Section (Domestic),3650,Electric Appliances,9,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS ,4,TOPIX Mid400
2535,20210331,6594,NIDEC CORPORATION,日本電産,First Section (Domestic),3650,Electric Appliances,9,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS ,1,TOPIX Core30
2566,20210331,6645,OMRON Corporation,オムロン,First Section (Domestic),3650,Electric Appliances,9,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS ,4,TOPIX Mid400
2582,20210331,6674,GS Yuasa Corporation,ジーエス・ユアサ　コーポレーション,First Section (Domestic),3650,Electric Appliances,9,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS ,4,TOPIX Mid400
2593,20210331,6701,NEC Corporation,日本電気,First Section (Domestic),3650,Electric Appliances,9,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS ,4,TOPIX Mid400
2594,20210331,6702,FUJITSU LIMITED,富士通,First Section (Domestic),3650,Electric Appliances,9,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS ,2,TOPIX Large70
2595,20210331,6703,"Oki Electric Industry Company,Limited",沖電気工業,First Section (Domestic),3650,Electric Appliances,9,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS ,4,TOPIX Mid400
2603,20210331,6723,Renesas Electronics Corporation,ルネサスエレクトロニクス,First Section (Domestic),3650,Electric Appliances,9,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS ,4,TOPIX Mid400
2604,20210331,6724,SEIKO EPSON CORPORATION,セイコーエプソン,First Section (Domestic),3650,Electric Appliances,9,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS ,4,TOPIX Mid400
2606,20210331,6728,"ULVAC, Inc.",アルバック,First Section (Domestic),3650,Electric Appliances,9,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS ,4,TOPIX Mid400
2620,20210331,6752,Panasonic Corporation,パナソニック,First Section (Domestic),3650,Electric Appliances,9,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS ,2,TOPIX Large70
2621,20210331,6753,Sharp Corporation,シャープ,First Section (Domestic),3650,Electric Appliances,9,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS ,4,TOPIX Mid400
2622,20210331,6754,ANRITSU CORPORATION,アンリツ,First Section (Domestic),3650,Electric Appliances,9,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS ,4,TOPIX Mid400
2623,20210331,6755,FUJITSU GENERAL LIMITED,富士通ゼネラル,First Section (Domestic),3650,Electric Appliances,9,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS ,4,TOPIX Mid400
2625,20210331,6758,SONY CORPORATION,ソニー,First Section (Domestic),3650,Electric Appliances,9,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS ,1,TOPIX Core30
2626,20210331,6762,TDK Corporation,ＴＤＫ,First Section (Domestic),3650,Electric Appliances,9,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS ,4,TOPIX Mid400
2630,20210331,6770,"ALPS ALPINE CO.,LTD.",アルプスアルパイン,First Section (Domestic),3650,Electric Appliances,9,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS ,4,TOPIX Mid400
2648,20210331,6806,"HIROSE ELECTRIC CO.,LTD.",ヒロセ電機,First Section (Domestic),3650,Electric Appliances,9,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS ,4,TOPIX Mid400
2669,20210331,6841,YOKOGAWA ELECTRIC CORPORATION,横河電機,First Section (Domestic),3650,Electric Appliances,9,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS ,4,TOPIX Mid400
2671,20210331,6845,Azbil Corporation,アズビル,First Section (Domestic),3650,Electric Appliances,9,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS ,4,TOPIX Mid400
2673,20210331,6849,NIHON KOHDEN CORPORATION,日本光電工業,First Section (Domestic),3650,Electric Appliances,9,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS ,4,TOPIX Mid400
2677,20210331,6856,"HORIBA,Ltd.",堀場製作所,First Section (Domestic),3650,Electric Appliances,9,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS ,4,TOPIX Mid400
2678,20210331,6857,ADVANTEST CORPORATION,アドバンテスト,First Section (Domestic),3650,Electric Appliances,9,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS ,4,TOPIX Mid400
2681,20210331,6861,KEYENCE CORPORATION,キーエンス,First Section (Domestic),3650,Electric Appliances,9,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS ,1,TOPIX Core30
2687,20210331,6869,SYSMEX CORPORATION,シスメックス,First Section (Domestic),3650,Electric Appliances,9,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS ,2,TOPIX Large70
2703,20210331,6902,DENSO CORPORATION,デンソー,First Section (Domestic),3700,Transportation Equipment,6,AUTOMOBILES & TRANSPORTATION EQUIPMENT ,2,TOPIX Large70
2714,20210331,6920,Lasertec Corporation,レーザーテック,First Section (Domestic),3650,Electric Appliances,9,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS ,4,TOPIX Mid400
2715,20210331,6923,"Stanley Electric Co.,Ltd.",スタンレー電気,First Section (Domestic),3650,Electric Appliances,9,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS ,4,TOPIX Mid400
2717,20210331,6925,USHIO INC.,ウシオ電機,First Section (Domestic),3650,Electric Appliances,9,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS ,4,TOPIX Mid400
2732,20210331,6952,"CASIO COMPUTER CO.,LTD.",カシオ計算機,First Section (Domestic),3650,Electric Appliances,9,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS ,4,TOPIX Mid400
2733,20210331,6954,FANUC CORPORATION,ファナック,First Section (Domestic),3650,Electric Appliances,9,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS ,1,TOPIX Core30
2740,20210331,6963,ROHM COMPANY LIMITED,ローム,First Section (Domestic),3650,Electric Appliances,9,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS ,4,TOPIX Mid400
2742,20210331,6965,HAMAMATSU PHOTONICS K.K.,浜松ホトニクス,First Section (Domestic),3650,Electric Appliances,9,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS ,4,TOPIX Mid400
2746,20210331,6971,KYOCERA CORPORATION,京セラ,First Section (Domestic),3650,Electric Appliances,9,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS ,2,TOPIX Large70
2748,20210331,6976,"TAIYO YUDEN CO.,LTD.",太陽誘電,First Section (Domestic),3650,Electric Appliances,9,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS ,4,TOPIX Mid400
2750,20210331,6981,"Murata Manufacturing Co.,Ltd.",村田製作所,First Section (Domestic),3650,Electric Appliances,9,ELECTRIC APPLIANCES & PRECISION INSTRUMENTS ,1,TOPIX Core30
2753,20210331,6988,NITTO DENKO CORPORATION,日東電工,First Section (Domestic),3200,Chemicals,4,RAW MATERIALS & CHEMICALS ,4,TOPIX Mid400
2757,20210331,6995,"TOKAI RIKA CO.,LTD.",東海理化電機製作所,First Section (Domestic),3700,Transportation Equipment,6,AUTOMOBILES & TRANSPORTATION EQUIPMENT ,4,TOPIX Mid400
2764,20210331,7011,"Mitsubishi Heavy Industries,Ltd.",三菱重工業,First Section (Domestic),3600,Machinery,8,MACHINERY ,2,TOPIX Large70
2765,20210331,7012,"Kawasaki Heavy Industries,Ltd.",川崎重工業,First Section (Domestic),3700,Transportation Equipment,6,AUTOMOBILES & TRANSPORTATION EQUIPMENT ,4,TOPIX Mid400
2766,20210331,7013,IHI Corporation,ＩＨＩ,First Section (Domestic),3600,Machinery,8,MACHINERY ,4,TOPIX Mid400
2840,20210331,7164,"ZENKOKU HOSHO Co.,Ltd.",全国保証,First Section (Domestic),7200,Other Financing Business,16,FINANCIALS （EX BANKS） ,4,TOPIX Mid400
2841,20210331,7167,"Mebuki Financial Group,Inc.",めぶきフィナンシャルグループ,First Section (Domestic),7050,Banks,15,BANKS ,4,TOPIX Mid400
2849,20210331,7180,"Kyushu Financial Group,Inc.",九州フィナンシャルグループ,First Section (Domestic),7050,Banks,15,BANKS ,4,TOPIX Mid400
2850,20210331,7181,"JAPAN POST INSURANCE Co.,Ltd.",かんぽ生命保険,First Section (Domestic),7150,Insurance,16,FINANCIALS （EX BANKS） ,4,TOPIX Mid400
2851,20210331,7182,"JAPAN POST BANK Co.,Ltd.",ゆうちょ銀行,First Section (Domestic),7050,Banks,15,BANKS ,4,TOPIX Mid400
2855,20210331,7186,"Concordia Financial Group,Ltd.",コンコルディア・フィナンシャルグループ,First Section (Domestic),7050,Banks,15,BANKS ,4,TOPIX Mid400
2857,20210331,7189,"Nishi-Nippon Financial Holdings,Inc.",西日本フィナンシャルホールディングス,First Section (Domestic),7050,Banks,15,BANKS ,4,TOPIX Mid400
2864,20210331,7201,"NISSAN MOTOR CO.,LTD.",日産自動車,First Section (Domestic),3700,Transportation Equipment,6,AUTOMOBILES & TRANSPORTATION EQUIPMENT ,2,TOPIX Large70
2865,20210331,7202,ISUZU MOTORS LIMITED,いすゞ自動車,First Section (Domestic),3700,Transportation Equipment,6,AUTOMOBILES & TRANSPORTATION EQUIPMENT ,4,TOPIX Mid400
2866,20210331,7203,TOYOTA MOTOR CORPORATION,トヨタ自動車,First Section (Domestic),3700,Transportation Equipment,6,AUTOMOBILES & TRANSPORTATION EQUIPMENT ,1,TOPIX Core30
2867,20210331,7205,"HINO MOTORS,LTD.",日野自動車,First Section (Domestic),3700,Transportation Equipment,6,AUTOMOBILES & TRANSPORTATION EQUIPMENT ,4,TOPIX Mid400
2869,20210331,7211,MITSUBISHI MOTORS CORPORATION,三菱自動車工業,First Section (Domestic),3700,Transportation Equipment,6,AUTOMOBILES & TRANSPORTATION EQUIPMENT ,4,TOPIX Mid400
2888,20210331,7240,NOK CORPORATION,ＮＯＫ,First Section (Domestic),3700,Transportation Equipment,6,AUTOMOBILES & TRANSPORTATION EQUIPMENT ,4,TOPIX Mid400
2899,20210331,7259,"AISIN SEIKI CO.,LTD.",アイシン精機,First Section (Domestic),3700,Transportation Equipment,6,AUTOMOBILES & TRANSPORTATION EQUIPMENT ,4,TOPIX Mid400
2900,20210331,7261,Mazda Motor Corporation,マツダ,First Section (Domestic),3700,Transportation Equipment,6,AUTOMOBILES & TRANSPORTATION EQUIPMENT ,4,TOPIX Mid400
2904,20210331,7267,"HONDA MOTOR CO.,LTD.",本田技研工業,First Section (Domestic),3700,Transportation Equipment,6,AUTOMOBILES & TRANSPORTATION EQUIPMENT ,1,TOPIX Core30
2906,20210331,7269,SUZUKI MOTOR CORPORATION,スズキ,First Section (Domestic),3700,Transportation Equipment,6,AUTOMOBILES & TRANSPORTATION EQUIPMENT ,2,TOPIX Large70
2907,20210331,7270,SUBARU CORPORATION,ＳＵＢＡＲＵ,First Section (Domestic),3700,Transportation Equipment,6,AUTOMOBILES & TRANSPORTATION EQUIPMENT ,2,TOPIX Large70
