,Research Development,Effect Of Accounting Charges,Income Before Tax,Minority Interest,Net Income,Selling General Administrative,Gross Profit,Ebit,Operating Income,Other Operating Expenses,Interest Expense,Extraordinary Items,Non Recurring,Other Items,Income Tax Expense,Total Revenue,Total Operating Expenses,Cost Of Revenue,Total Other Income Expense Net,Discontinued Operations,Net Income From Continuing Ops,Net Income Applicable To Common Shares
2021-03-31,,,402145000000.0,71473000000.0,293732000000.0,151489000000.0,543703000000.0,392214000000.0,392214000000.0,,-728000000.0,,,,102969000000.0,1496906000000.0,1104692000000.0,953203000000.0,9931000000.0,,299176000000.0,293732000000.0
2020-03-31,,,426016000000.0,68927000000.0,314027000000.0,147735000000.0,555743000000.0,406041000000.0,406041000000.0,,-749000000.0,,,,107726000000.0,1543525000000.0,1137484000000.0,987782000000.0,19975000000.0,,318290000000.0,314027000000.0
2019-03-31,15536000000.0,,415310000000.0,65814000000.0,309125000000.0,137122000000.0,554057000000.0,403705000000.0,403705000000.0,,-746000000.0,,,,101325000000.0,1594036000000.0,1190331000000.0,1039979000000.0,11605000000.0,,313985000000.0,309125000000.0
2018-03-31,13600000000.0,,340306000000.0,61258000000.0,266235000000.0,128014000000.0,478424000000.0,336823000000.0,336823000000.0,,-621000000.0,,,,70249000000.0,1441432000000.0,1104609000000.0,963008000000.0,3483000000.0,,270057000000.0,266235000000.0
