,Research Development,Effect Of Accounting Charges,Income Before Tax,Minority Interest,Net Income,Selling General Administrative,Gross Profit,Ebit,Operating Income,Other Operating Expenses,Interest Expense,Extraordinary Items,Non Recurring,Other Items,Income Tax Expense,Total Revenue,Total Operating Expenses,Cost Of Revenue,Total Other Income Expense Net,Discontinued Operations,Net Income From Continuing Ops,Net Income Applicable To Common Shares
2020-06-30,2600000.0,,260400000.0,,220700000.0,570900000.0,983300000.0,409800000.0,409800000.0,,-126100000.0,,,,39700000.0,3094300000.0,2684500000.0,2111000000.0,-149400000.0,,220700000.0,173000000.0
2019-06-30,3300000.0,,160300000.0,,137400000.0,507200000.0,805100000.0,294600000.0,294600000.0,,-110900000.0,,,,22900000.0,2518000000.0,2223400000.0,1712900000.0,-134300000.0,,137400000.0,132000000.0
2018-06-30,6300000.0,,152000000.0,,83600000.0,458500000.0,752600000.0,287800000.0,287800000.0,,-111400000.0,,,,68400000.0,2463400000.0,2175600000.0,1710800000.0,-135800000.0,,83600000.0,83600000.0
2017-06-30,7000000.0,,135600000.0,,109800000.0,395600000.0,654600000.0,252000000.0,252000000.0,,-90100000.0,,,,25800000.0,2075400000.0,1823400000.0,1420800000.0,-116400000.0,,109800000.0,109800000.0
