Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2001-01-01,4460.50439453125,4460.50439453125,4460.50439453125,4460.50439453125,0,0.0,0.0
2001-01-02,4460.50439453125,4460.50439453125,4460.50439453125,4460.50439453125,0,0.0,0.0
2001-01-03,4460.50439453125,4460.50439453125,4460.50439453125,4460.50439453125,0,0.0,0.0
2001-01-04,4617.237924168975,4655.361907029086,4532.517962257618,4587.5859375,79200,0.0,0.0
2001-01-05,4587.584885851485,4655.36083984375,4511.3369376101855,4655.36083984375,68200,0.0,0.0
2001-01-08,4655.36083984375,4655.36083984375,4655.36083984375,4655.36083984375,0,0.0,0.0
2001-01-09,4596.057906438602,4596.057906438602,4507.101946959146,4562.169921875,96200,0.0,0.0
2001-01-10,4477.450171717055,4477.450171717055,4235.998270309418,4295.30224609375,178400,0.0,0.0
2001-01-11,4261.413759635683,4295.301741819665,4138.56982421875,4138.56982421875,258200,0.0,0.0
2001-01-12,4151.276528216423,4151.276528216423,3880.1727549451466,3981.836669921875,362600,0.0,0.0
2001-01-15,4066.5565399484535,4108.91650390625,4028.4325723864367,4108.91650390625,233000,0.0,0.0
2001-01-16,4104.680567185423,4104.680567185423,3875.9367584877828,3981.836669921875,275800,0.0,0.0
2001-01-17,3897.117706364741,3986.073654010023,3858.993728802477,3922.53369140625,402400,0.0,0.0
2001-01-18,4041.1419883499225,4197.873910329951,4028.4339946758664,4096.2099609375,212600,0.0,0.0
2001-01-19,4435.089483173077,4490.157451923077,4341.897536057692,4405.4375,443200,0.0,0.0
2001-01-22,4574.876728396866,4591.820716279817,4447.796819274731,4528.28076171875,310600,0.0,0.0
2001-01-23,4524.046512386419,4524.046512386419,4227.526609889182,4312.24658203125,171400,0.0,0.0
2001-01-24,4452.033473557693,4452.033473557693,4363.077524038462,4405.4375,169600,0.0,0.0
2001-01-25,4324.953234633871,4358.841212965968,4240.233288803629,4282.59326171875,127800,0.0,0.0
2001-01-26,4405.438068584594,4481.68603515625,4299.538115012849,4481.68603515625,145400,0.0,0.0
2001-01-29,4312.246763883797,4426.61873109879,4312.246763883797,4333.4267578125,71200,0.0,0.0
2001-01-30,4418.145737401697,4485.921702692615,4371.549761264191,4477.44970703125,177000,0.0,0.0
2001-01-31,4477.448747512529,4490.15673828125,4388.492812131486,4490.15673828125,117200,0.0,0.0
2001-02-01,4477.448743932387,4608.7646484375,4464.740753173828,4608.7646484375,160400,0.0,0.0
2001-02-02,4574.876411502101,4604.528388243319,4532.5164447289335,4536.75244140625,108600,0.0,0.0
2001-02-05,4536.754254820718,4536.754254820718,4375.786316741179,4396.96630859375,86000,0.0,0.0
2001-02-06,4447.796257174745,4447.796257174745,4350.368339160441,4358.84033203125,53000,0.0,0.0
2001-02-07,4282.592247259795,4320.716213852612,4214.816306650342,4257.17626953125,108000,0.0,0.0
2001-02-08,4261.413847558103,4261.413847558103,4214.81787109375,4214.81787109375,70800,0.0,0.0
2001-02-09,4172.4572372820685,4214.81720923417,4091.9732905730743,4206.34521484375,172000,0.0,0.0
2001-02-13,4163.985478135406,4206.345452480628,4100.445516617572,4134.33349609375,112800,0.0,0.0
2001-02-14,4176.693102384868,4176.693102384868,4070.7931758538116,4104.68115234375,152600,0.0,0.0
2001-02-15,4062.321705956117,4104.681682034909,4053.8497107403587,4070.793701171875,69000,0.0,0.0
2001-02-16,4083.5017915883464,4108.917777843046,3943.7138671875005,3943.7138671875,100800,0.0,0.0
2001-02-19,4028.4328256758436,4083.5007822833995,3960.656879081928,4003.016845703125,117800,0.0,0.0
2001-02-20,4045.378312039966,4142.806271387526,4045.378312039966,4100.4462890625,139400,0.0,0.0
2001-02-21,4142.80600814664,4163.98599796334,4104.682026476578,4159.75,171600,0.0,0.0
2001-02-22,4075.0298263240393,4117.389803728655,3943.7138963697303,3969.1298828125,77200,0.0,0.0
2001-02-23,4011.490340500368,4011.490340500368,3952.1863650336254,3956.42236328125,120400,0.0,0.0
2001-02-26,3973.365197728099,4041.1411499281517,3952.185212665582,4007.253173828125,121000,0.0,0.0
2001-02-27,4028.4341814770123,4045.378173828125,3969.1302082481184,4045.378173828125,194000,0.0,0.0
2001-02-28,4041.1406203249667,4041.1406203249667,3947.9486982629655,3981.836669921875,183400,0.0,0.0
2001-03-01,3981.8374571774734,4003.0174436518214,3956.421473408255,3960.657470703125,212200,0.0,0.0
2001-03-02,4003.01830394848,4003.01830394848,3918.2983398437505,3918.29833984375,174200,0.0,0.0
2001-03-05,3926.7702092405225,3969.1301899227287,3858.9942401489925,3875.938232421875,165600,0.0,0.0
2001-03-06,3939.478330869933,4003.01830394848,3875.9383577913854,3918.29833984375,200400,0.0,0.0
2001-03-07,3994.5441013344275,3994.5441013344275,3901.35219228951,3990.30810546875,126000,0.0,0.0
2001-03-08,3994.5463272287875,4015.726318359375,3918.298359158673,4015.726318359375,164000,0.0,0.0
2001-03-09,4015.7240806628183,4019.9600765284963,3939.476155080613,3990.30810546875,176400,0.0,0.0
2001-03-12,4032.6696422564582,4032.6696422564582,3918.297709125235,3935.24169921875,115200,0.0,0.0
2001-03-13,3854.7571671754936,3901.35313293256,3825.1051889664514,3858.9931640625,134400,0.0,0.0
2001-03-15,3825.105633724241,3892.8815917968745,3820.869636344702,3892.881591796875,122800,0.0,0.0
2001-03-16,3892.8822246947575,3931.0062073087433,3837.814249807889,3875.938232421875,182200,0.0,0.0
2001-03-19,3833.578919813368,3909.826898328993,3770.0389377170136,3812.39892578125,149400,0.0,0.0
2001-03-20,3812.39892578125,3812.39892578125,3812.39892578125,3812.39892578125,0,0.0,0.0
2001-03-21,3778.5101519337018,3918.2980835635362,3770.0381560773485,3833.578125,228000,0.0,0.0
2001-03-22,3854.758366765203,3956.422323690879,3825.1063793285475,3918.29833984375,184400,0.0,0.0
2001-03-23,3926.7696070264324,4121.62548828125,3926.7696070264324,4121.62548828125,166600,0.0,0.0
2001-03-26,4235.99857006673,4443.5625,4193.638584366063,4443.5625,284000,0.0,0.0
2001-03-27,4341.8019417475725,4388.4423922936885,4257.001122572815,4367.2421875,60400,5.0,0.0
2001-03-28,4405.4008775031425,4464.761428306842,4346.040326699443,4426.60107421875,125000,0.0,0.0
2001-03-29,4346.040637852068,4367.240836085493,4252.759765625,4252.759765625,72400,0.0,0.0
2001-03-30,4409.641854818366,4409.641854818366,4197.639842567482,4201.8798828125,83000,0.0,0.0
2001-04-02,4329.08056640625,4329.08056640625,4240.039732033545,4329.08056640625,62200,0.0,0.0
2001-04-03,4324.83936254529,4388.43994140625,4320.59932395456,4388.43994140625,105600,0.0,0.0
2001-04-04,4303.639454841614,4384.200193405151,4265.4791049957275,4341.7998046875,93800,0.0,0.0
2001-04-05,4341.8018234165065,4494.4432937709935,4316.361578357426,4418.12255859375,123400,0.0,0.0
2001-04-06,4642.84375,4659.803909817351,4536.842751141552,4642.84375,197800,0.0,0.0
2001-04-09,4558.043382657284,4558.043382657284,4452.042373758278,4481.72265625,79000,0.0,0.0
2001-04-10,4346.039743498554,4346.039743498554,4231.558696596641,4307.87939453125,203200,0.0,0.0
2001-04-11,4350.28254598984,4363.002670393319,4295.162006908097,4303.64208984375,177600,0.0,0.0
2001-04-12,4371.479787043328,4452.04052026721,4261.23878368433,4388.43994140625,109200,0.0,0.0
2001-04-13,4435.08241889313,4443.5625,4401.162094465649,4443.5625,112600,0.0,0.0
2001-04-16,4443.560443085749,4447.80048167648,4388.43994140625,4388.43994140625,39200,0.0,0.0
