,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Inventory,Accounts Payable
2020-12-31,26683000000.0,13101000000.0,9000000.0,210000000.0,39793000000.0,763000000.0,96000000.0,12527000000.0,7905000000.0,-189000000.0,272000000.0,3129000000.0,2019000000.0,401000000.0,-189000000.0,32916000000.0,4441000000.0,2164000000.0,13101000000.0,2000000.0,912000000.0,16301000000.0,302000000.0,809000000.0
2019-12-31,26394000000.0,11848000000.0,15000000.0,238000000.0,38257000000.0,773000000.0,77000000.0,11404000000.0,7757000000.0,-329000000.0,312000000.0,958000000.0,2151000000.0,245000000.0,-329000000.0,32700000000.0,3278000000.0,1967000000.0,11848000000.0,996000000.0,986000000.0,15989000000.0,261000000.0,1043000000.0
2018-12-31,24149000000.0,12563000000.0,17000000.0,309000000.0,36729000000.0,818000000.0,181000000.0,12157000000.0,7495000000.0,-412000000.0,299000000.0,858000000.0,1915000000.0,18000000.0,-412000000.0,31998000000.0,2565000000.0,1867000000.0,12563000000.0,253000000.0,1010000000.0,14735000000.0,263000000.0,949000000.0
2017-12-31,21018000000.0,14705000000.0,16000000.0,346000000.0,35739000000.0,890000000.0,154000000.0,14084000000.0,7334000000.0,-269000000.0,297000000.0,401000000.0,1894000000.0,19000000.0,-269000000.0,31764000000.0,1915000000.0,1763000000.0,14705000000.0,18000000.0,970000000.0,11785000000.0,372000000.0,847000000.0
