,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Deferred Long Term Liab,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Inventory,Accounts Payable
2020-12-31,30684000000.0,35626000000.0,422393000000.0,443164000000.0,8172000000.0,15691000000.0,2023000000.0,873729000000.0,8000000.0,676000000.0,444626000000.0,259093000000.0,73734000000.0,-37096000000.0,63806000000.0,47990000000.0,55024000000.0,9398000000.0,-4243000000.0,192596000000.0,194026000000.0,318883000000.0,338746000000.0,90300000000.0,35852000000.0,104149000000.0,19208000000.0,38913000000.0
2019-12-31,31646000000.0,35658000000.0,389166000000.0,424791000000.0,3772000000.0,16697000000.0,2020000000.0,817729000000.0,8000000.0,602000000.0,402493000000.0,241535000000.0,81882000000.0,-13368000000.0,55416000000.0,64175000000.0,44441000000.0,,-5243000000.0,180282000000.0,184286000000.0,284217000000.0,311263000000.0,63822000000.0,35835000000.0,98682000000.0,19852000000.0,36361000000.0
2018-12-31,32148000000.0,35707000000.0,355294000000.0,348703000000.0,3797000000.0,16762000000.0,3435000000.0,707794000000.0,8000000.0,622000000.0,321112000000.0,217294000000.0,81025000000.0,-8124000000.0,51147000000.0,30361000000.0,44883000000.0,,-5015000000.0,166706000000.0,166788000000.0,209980000000.0,235530000000.0,81506000000.0,35230000000.0,93117000000.0,19069000000.0,37075000000.0
2017-12-31,33182000000.0,35694000000.0,350141000000.0,348296000000.0,3658000000.0,17807000000.0,2679000000.0,702095000000.0,8000000.0,771000000.0,255786000000.0,209054000000.0,81258000000.0,56808000000.0,49505000000.0,31583000000.0,44820000000.0,,58571000000.0,158219000000.0,167014000000.0,212917000000.0,233856000000.0,84371000000.0,32923000000.0,96267000000.0,17366000000.0,35821000000.0
