,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Long Term Debt,Accounts Payable,Good Will
2020-03-31,3719000000.0,129477000000.0,10314008000000.0,501213000000.0,7544000000.0,20248000000.0,10822765000000.0,50000000000.0,40025000000.0,270954000000.0,122577000000.0,50782000000.0,7609066000000.0,1714664000000.0,9097313000000.0,672000000.0,60650000000.0,119647000000.0,1756074000000.0,1334259000000.0,497494000000.0,1094118000000.0,8831046000000.0,
2019-03-31,3864000000.0,132510000000.0,9939318000000.0,502243000000.0,7490000000.0,23254000000.0,10449051000000.0,50000000000.0,36520000000.0,255229000000.0,83909000000.0,64504000000.0,7399168000000.0,1474517000000.0,8807770000000.0,645000000.0,75400000000.0,123930000000.0,1512203000000.0,1409225000000.0,497718000000.0,1047639000000.0,8508766000000.0,661000000.0
2018-03-31,3253000000.0,134791000000.0,9426769000000.0,527474000000.0,7420000000.0,23537000000.0,9961663000000.0,50000000000.0,34746000000.0,236924000000.0,96292000000.0,105759000000.0,7120958000000.0,1076592000000.0,8533971000000.0,631000000.0,116427000000.0,124793000000.0,1112480000000.0,1599234000000.0,523276000000.0,796506000000.0,8345294000000.0,945000000.0
2017-03-31,4476000000.0,141868000000.0,8974772000000.0,487777000000.0,23899000000.0,26123000000.0,9486448000000.0,50000000000.0,34512000000.0,219793000000.0,121163000000.0,76116000000.0,6828469000000.0,807097000000.0,8174233000000.0,952000000.0,91945000000.0,121035000000.0,842478000000.0,1688762000000.0,482073000000.0,679376000000.0,8019012000000.0,1228000000.0
