,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Deferred Long Term Liab,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable
2020-04-30,2793000000.0,20500000000.0,82448000000.0,110915000000.0,88000000.0,15000000.0,21517000000.0,193451000000.0,21894000000.0,3303000000.0,68758000000.0,5162000000.0,42123000000.0,-237000000.0,4783000000.0,46321000000.0,74700000000.0,4211000000.0,-235000000.0,30874000000.0,87802000000.0,25076000000.0,65999000000.0,22857000000.0,2432000000.0,15321000000.0,47187000000.0
2019-04-30,2328000000.0,20500000000.0,85099000000.0,103855000000.0,67000000.0,59000000.0,21223000000.0,189021000000.0,21894000000.0,3014000000.0,61526000000.0,4969000000.0,45249000000.0,-65000000.0,5696000000.0,48091000000.0,73744000000.0,4284000000.0,-63000000.0,30186000000.0,85446000000.0,20116000000.0,56278000000.0,21443000000.0,5985000000.0,12898000000.0,44794000000.0
2018-04-30,2121000000.0,20500000000.0,86703000000.0,96696000000.0,36000000.0,103000000.0,22862000000.0,183435000000.0,21894000000.0,4083000000.0,54268000000.0,4325000000.0,38011000000.0,34000000.0,3110000000.0,63779000000.0,70235000000.0,2216000000.0,35000000.0,27853000000.0,96169000000.0,16171000000.0,56564000000.0,18727000000.0,11511000000.0,9580000000.0,38728000000.0
2017-04-30,2170000000.0,6367000000.0,96145000000.0,60105000000.0,73000000.0,,24114000000.0,156323000000.0,8682000000.0,3997000000.0,45286000000.0,3978000000.0,40939000000.0,-230000000.0,3362000000.0,29775000000.0,72955000000.0,2167000000.0,189000000.0,28464000000.0,65420000000.0,15968000000.0,16996000000.0,19980000000.0,18254000000.0,11668000000.0,39325000000.0
