,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Accounts Payable,Short Term Investments,Long Term Debt
2021-03-31,186000000.0,3643000000.0,10133000000.0,45210000000.0,215000000.0,5709000000.0,55558000000.0,3780000000.0,92000000.0,42575000000.0,394000000.0,-4788000000.0,632000000.0,42863000000.0,9739000000.0,630000000.0,500000000.0,174000000.0,532000000.0,47765000000.0,6443000000.0,45024000000.0,4480000000.0,797000000.0,,
2020-03-31,148000000.0,2428000000.0,8354000000.0,35893000000.0,49000000.0,3900000000.0,44296000000.0,2583000000.0,149000000.0,35753000000.0,367000000.0,-4871000000.0,474000000.0,21279000000.0,7487000000.0,473000000.0,1000000000.0,91000000.0,550000000.0,25737000000.0,17387000000.0,35745000000.0,2340000000.0,636000000.0,1700000000.0,500000000.0
2019-03-31,25000000.0,1228000000.0,8376000000.0,27189000000.0,73000000.0,3558000000.0,35638000000.0,1383000000.0,44000000.0,29203000000.0,377000000.0,-4625000000.0,355000000.0,13495000000.0,6499000000.0,354000000.0,1000000000.0,337000000.0,480000000.0,17488000000.0,17290000000.0,27164000000.0,2049000000.0,424000000.0,1700000000.0,1500000000.0
2018-03-31,51000000.0,1156000000.0,9695000000.0,22042000000.0,,4123000000.0,31737000000.0,1378000000.0,348000000.0,24034000000.0,434000000.0,-4526000000.0,1000000.0,13337000000.0,6761000000.0,,1000000000.0,435000000.0,517000000.0,15865000000.0,15303000000.0,21991000000.0,315000000.0,158000000.0,1700000000.0,2500000000.0
