,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Deferred Long Term Liab,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Inventory,Accounts Payable
2020-12-31,50249000000.0,84943000000.0,1615132000000.0,1476039000000.0,98146000000.0,18992000000.0,322109000000.0,3189317000000.0,84130000000.0,72305000000.0,1325764000000.0,52852000000.0,3298000000.0,-18798000000.0,897849000000.0,222919000000.0,1026426000000.0,43641000000.0,208138000000.0,-18162000000.0,424672000000.0,1638542000000.0,174707000000.0,1422492000000.0,49967000000.0,919353000000.0,508398000000.0,373998000000.0,323607000000.0
2019-12-31,40745000000.0,84671000000.0,1602104000000.0,1442837000000.0,94377000000.0,16883000000.0,306656000000.0,3139318000000.0,84130000000.0,82034000000.0,1238824000000.0,57882000000.0,3358000000.0,35212000000.0,788317000000.0,199665000000.0,1001743000000.0,46984000000.0,179249000000.0,35849000000.0,405349000000.0,1718884000000.0,182665000000.0,1398734000000.0,71968000000.0,982816000000.0,516443000000.0,382401000000.0,293774000000.0
2018-12-31,37053000000.0,85305000000.0,1469222000000.0,1339850000000.0,86583000000.0,9542000000.0,267004000000.0,2895655000000.0,84130000000.0,53250000000.0,1135395000000.0,54237000000.0,3353000000.0,35020000000.0,703883000000.0,229123000000.0,922823000000.0,50055000000.0,164321000000.0,35343000000.0,330034000000.0,1639523000000.0,181809000000.0,1299444000000.0,54373000000.0,932079000000.0,490205000000.0,370698000000.0,306759000000.0
2017-12-31,47804000000.0,85037000000.0,1468495000000.0,1301345000000.0,84090000000.0,,162862000000.0,2853930000000.0,84100000000.0,106329000000.0,1065776000000.0,75189000000.0,,66432000000.0,681236000000.0,230720000000.0,919072000000.0,39006000000.0,182968000000.0,66606000000.0,334237000000.0,1615524000000.0,175129000000.0,1253541000000.0,,914676000000.0,474234000000.0,362518000000.0,286121000000.0
