,Capital Surplus,Total Liab,Total Stockholder Equity,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Minority Interest
2020-12-31,47133000000.0,32769000000.0,29849000000.0,861000000.0,62618000000.0,18000000.0,325000000.0,35213000000.0,12094000000.0,-52515000000.0,1996000000.0,2991000000.0,5366000000.0,451000000.0,-5218000000.0,40676000000.0,12066000000.0,7880000000.0,29849000000.0,4865000000.0,2754000000.0,14027000000.0,1002000000.0,2698000000.0,
2019-12-31,46983000000.0,35464000000.0,34981000000.0,2358000000.0,70514000000.0,18000000.0,419000000.0,39742000000.0,13046000000.0,-51762000000.0,1992000000.0,5088000000.0,7043000000.0,18000000.0,-5357000000.0,43165000000.0,16913000000.0,8444000000.0,34981000000.0,5139000000.0,3401000000.0,14157000000.0,1026000000.0,3200000000.0,69000000.0
2018-12-31,46879000000.0,37916000000.0,31939000000.0,2094000000.0,69980000000.0,18000000.0,417000000.0,34010000000.0,15665000000.0,-48968000000.0,1917000000.0,5915000000.0,7395000000.0,33000000.0,-6063000000.0,45698000000.0,13274000000.0,9091000000.0,31939000000.0,1710000000.0,4067000000.0,14158000000.0,1007000000.0,3895000000.0,125000000.0
2017-12-31,46622000000.0,42561000000.0,30607000000.0,1667000000.0,73362000000.0,18000000.0,276000000.0,29391000000.0,16036000000.0,-45424000000.0,1943000000.0,6325000000.0,9397000000.0,2575000000.0,-5518000000.0,45683000000.0,16512000000.0,9224000000.0,30607000000.0,3772000000.0,4320000000.0,17128000000.0,1060000000.0,4030000000.0,194000000.0
