,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Deferred Long Term Liab,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Inventory,Accounts Payable
2020-12-31,951607000.0,1885142000.0,5786593000.0,8534316000.0,6842000.0,59847000.0,60364000.0,14327751000.0,776000.0,31343000.0,7559191000.0,823732000.0,2650831000.0,-910793000.0,447292000.0,768625000.0,2371248000.0,387445000.0,369230000.0,-695145000.0,4914367000.0,5363654000.0,4931878000.0,571741000.0,1709493000.0,2318789000.0,1913020000.0,1016897000.0
2019-12-31,928879000.0,1868250000.0,5260232000.0,8119841000.0,6607000.0,69039000.0,59108000.0,13386680000.0,790000.0,27679000.0,7232337000.0,801106000.0,2570027000.0,-981536000.0,436397000.0,134785000.0,2712583000.0,367358000.0,352717000.0,-765824000.0,5021920000.0,4429457000.0,4620935000.0,42500000.0,1526619000.0,1493174000.0,2282328000.0,824956000.0
2018-12-31,961810000.0,1852173000.0,5659064000.0,7433814000.0,6245000.0,,62135000.0,13099123000.0,797000.0,74919000.0,6588197000.0,877224000.0,2520966000.0,-1007353000.0,407149000.0,119050000.0,3266239000.0,407149000.0,401036000.0,-791608000.0,4699902000.0,4509296000.0,3951038000.0,,1606159000.0,1510431000.0,2287615000.0,811879000.0
2017-12-31,891767000.0,1828131000.0,4998381000.0,7059162000.0,37310000.0,,47914000.0,12094853000.0,818000.0,104425000.0,6004506000.0,783131000.0,2471459000.0,-774293000.0,387870000.0,84884000.0,2655355000.0,387870000.0,63037000.0,-558527000.0,4270790000.0,4072967000.0,3695936000.0,,1558159000.0,1559895000.0,1948663000.0,810034000.0
