,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Accounts Payable
2021-02-28,3350000000.0,40691000000.0,1006713000000.0,377343000000.0,10143000000.0,124960000000.0,1394199000000.0,42372000000.0,36794000000.0,307790000000.0,161702000000.0,-13510000000.0,108398000000.0,124080000000.0,213938000000.0,14940000000.0,63629000000.0,-13504000000.0,1100084000000.0,179427000000.0,2940000000.0,373993000000.0,7362000000.0,7528000000.0,518794000000.0,8606000000.0
2020-02-29,3807000000.0,40666000000.0,976696000000.0,393896000000.0,10625000000.0,115565000000.0,1381217000000.0,42347000000.0,36354000000.0,318755000000.0,161586000000.0,-7872000000.0,13934000000.0,58283000000.0,211916000000.0,13902000000.0,50774000000.0,-7867000000.0,1091455000000.0,169354000000.0,102667000000.0,390089000000.0,63400000000.0,7689000000.0,499322000000.0,8530000000.0
2019-02-28,3638000000.0,40597000000.0,809153000000.0,383484000000.0,10574000000.0,81590000000.0,1203211000000.0,42313000000.0,35736000000.0,306373000000.0,160270000000.0,-5799000000.0,11950000000.0,56823000000.0,186923000000.0,11910000000.0,39015000000.0,-5795000000.0,940593000000.0,104102000000.0,142928000000.0,379846000000.0,,7392000000.0,461960000000.0,19977000000.0
2018-02-28,3812000000.0,40555000000.0,738221000000.0,373713000000.0,11847000000.0,81806000000.0,1123781000000.0,42271000000.0,35543000000.0,281477000000.0,152558000000.0,9410000000.0,10278000000.0,54586000000.0,220661000000.0,10226000000.0,29746000000.0,9412000000.0,874267000000.0,101590000000.0,133834000000.0,369901000000.0,630000000.0,6778000000.0,365002000000.0,17859000000.0
