,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Deferred Long Term Liab,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Accounts Payable
2020-12-31,18688000000.0,33812000000.0,720329000000.0,74558000000.0,259000000.0,108000000.0,10017000000.0,795146000000.0,12000000.0,15661000000.0,36491000000.0,579388000000.0,10112000000.0,4243000000.0,314225000000.0,19795000000.0,62553000000.0,94000000.0,238000000.0,18072000000.0,2614000000.0,66844000000.0,382663000000.0,62147000000.0,3904000000.0,19155000000.0,77095000000.0,22147000000.0
2019-12-31,19068000000.0,32680000000.0,674081000000.0,66144000000.0,238000000.0,158000000.0,4523000000.0,740463000000.0,12000000.0,8231000000.0,33078000000.0,548480000000.0,9308000000.0,374000000.0,298221000000.0,16598000000.0,53838000000.0,65000000.0,418000000.0,13052000000.0,2788000000.0,57016000000.0,354062000000.0,55601000000.0,3850000000.0,21630000000.0,69984000000.0,21917000000.0
2018-12-31,20179000000.0,32474000000.0,634580000000.0,52741000000.0,217000000.0,210000000.0,4984000000.0,687538000000.0,12000000.0,9058000000.0,28926000000.0,518190000000.0,9422000000.0,-8671000000.0,278416000000.0,15821000000.0,49354000000.0,,415000000.0,1722000000.0,1400000000.0,54754000000.0,323367000000.0,42035000000.0,3937000000.0,21095000000.0,67032000000.0,18893000000.0
2017-12-31,19678000000.0,31111000000.0,661022000000.0,58676000000.0,194000000.0,220000000.0,5681000000.0,719892000000.0,12000000.0,7965000000.0,26527000000.0,536421000000.0,9590000000.0,1026000000.0,299764000000.0,12701000000.0,52550000000.0,,772000000.0,7427000000.0,1400000000.0,51034000000.0,338426000000.0,47827000000.0,4870000000.0,19935000000.0,72046000000.0,19897000000.0
