,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Good Will
2020-03-31,29062000000.0,11468000000.0,400582000000.0,598926000000.0,25587000000.0,85533000000.0,1025095000000.0,11094000000.0,22428000000.0,549817000000.0,87754000000.0,26547000000.0,13205000000.0,124643000000.0,198590000000.0,13202000000.0,56550000000.0,342979000000.0,494750000000.0,145099000000.0,569864000000.0,216204000000.0,114238000000.0,131475000000.0,87708000000.0,
2019-03-31,31194000000.0,11468000000.0,418970000000.0,626377000000.0,23434000000.0,81143000000.0,1068781000000.0,11094000000.0,23277000000.0,553742000000.0,81538000000.0,50073000000.0,7748000000.0,141955000000.0,264746000000.0,7375000000.0,70075000000.0,334396000000.0,528914000000.0,166410000000.0,595064000000.0,241914000000.0,70806000000.0,121768000000.0,87695000000.0,119000000.0
2018-03-31,36605000000.0,1361000000.0,400962000000.0,647935000000.0,72271000000.0,75350000000.0,1121168000000.0,11094000000.0,28920000000.0,560228000000.0,96248000000.0,75252000000.0,4928000000.0,153937000000.0,215661000000.0,2489000000.0,100031000000.0,326008000000.0,541506000000.0,210075000000.0,609284000000.0,235695000000.0,87177000000.0,122954000000.0,87218000000.0,2046000000.0
2017-03-31,39878000000.0,1361000000.0,420316000000.0,658189000000.0,69639000000.0,78681000000.0,1148144000000.0,11094000000.0,29556000000.0,590338000000.0,93998000000.0,55396000000.0,5073000000.0,173859000000.0,205879000000.0,2802000000.0,80174000000.0,336685000000.0,547078000000.0,181692000000.0,580573000000.0,227336000000.0,118698000000.0,116327000000.0,83460000000.0,37738000000.0
