,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Deferred Long Term Liab,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable
2020-03-31,2474000000.0,3409000000.0,43128000000.0,46061000000.0,326000000.0,30000000.0,7721000000.0,89515000000.0,10000000000.0,1081000000.0,52818000000.0,8743000000.0,-20166000000.0,3132000000.0,40053000000.0,22595000000.0,2956000000.0,1686000000.0,-6404000000.0,15890000000.0,53780000000.0,14239000000.0,43587000000.0,7792000000.0,10395000000.0,4854000000.0,3964000000.0
2019-03-31,3397000000.0,3409000000.0,42788000000.0,52110000000.0,287000000.0,29000000.0,9042000000.0,95185000000.0,10000000000.0,800000000.0,55114000000.0,7558000000.0,-16413000000.0,2907000000.0,43814000000.0,22891000000.0,2683000000.0,1744000000.0,-4651000000.0,15912000000.0,56387000000.0,16582000000.0,48713000000.0,7350000000.0,11411000000.0,4423000000.0,4433000000.0
2018-03-31,3905000000.0,3423000000.0,45541000000.0,52492000000.0,243000000.0,33000000.0,9878000000.0,98276000000.0,10000000000.0,1252000000.0,53779000000.0,9221000000.0,-14710000000.0,2638000000.0,44290000000.0,24508000000.0,2381000000.0,2534000000.0,-2921000000.0,16430000000.0,58383000000.0,16920000000.0,48587000000.0,8630000000.0,10786000000.0,4211000000.0,4563000000.0
2017-03-31,4715000000.0,3423000000.0,48254000000.0,52854000000.0,204000000.0,49000000.0,9512000000.0,101312000000.0,10000000000.0,1869000000.0,55638000000.0,12253000000.0,-16207000000.0,3902000000.0,41172000000.0,24824000000.0,3619000000.0,1030000000.0,-4418000000.0,18539000000.0,56295000000.0,17861000000.0,48139000000.0,8948000000.0,10255000000.0,4306000000.0,3911000000.0
