,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Inventory,Accounts Payable,Short Term Investments
2020-03-31,6881000000.0,26854000000.0,62314000000.0,335834000000.0,1909000000.0,17597000000.0,400057000000.0,31642000000.0,6151000000.0,301483000000.0,18995000000.0,-24145000000.0,5518000000.0,32233000000.0,43319000000.0,5247000000.0,1072000000.0,227830000000.0,84405000000.0,75423000000.0,328953000000.0,45064000000.0,957000000.0,25528000000.0,
2019-03-31,7011000000.0,26854000000.0,63510000000.0,330357000000.0,1841000000.0,18341000000.0,395708000000.0,31642000000.0,6975000000.0,295208000000.0,18161000000.0,-23347000000.0,3751000000.0,53591000000.0,45349000000.0,3536000000.0,4673000000.0,228416000000.0,116705000000.0,39825000000.0,323346000000.0,46692000000.0,947000000.0,26827000000.0,8500000000.0
2018-03-31,7471000000.0,26854000000.0,61714000000.0,321844000000.0,62000000.0,17990000000.0,383620000000.0,31642000000.0,7912000000.0,281680000000.0,17227000000.0,-18332000000.0,2232000000.0,51611000000.0,44487000000.0,1714000000.0,5688000000.0,226615000000.0,105721000000.0,41581000000.0,314373000000.0,45182000000.0,1016000000.0,26363000000.0,
2017-03-31,7807000000.0,26854000000.0,58757000000.0,312059000000.0,56000000.0,16191000000.0,370872000000.0,31642000000.0,8204000000.0,272709000000.0,16752000000.0,-19146000000.0,1688000000.0,47381000000.0,42005000000.0,1552000000.0,5203000000.0,225160000000.0,99097000000.0,37120000000.0,304252000000.0,41712000000.0,1100000000.0,25674000000.0,700000000.0
