,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Short Long Term Debt
2020-03-31,35132000000.0,170881000000.0,1317687000000.0,1518584000000.0,248246000000.0,243299000000.0,3084517000000.0,99737000000.0,103885000000.0,1251778000000.0,126445000000.0,2776000000.0,-3812000000.0,38162000000.0,250600000000.0,912837000000.0,38162000000.0,16947000000.0,942454000000.0,1577027000000.0,488966000000.0,1480676000000.0,384000000.0,668572000000.0,278405000000.0,553586000000.0,361155000000.0,
2019-03-31,38207000000.0,170868000000.0,1276950000000.0,1550883000000.0,225430000000.0,251450000000.0,3053263000000.0,99737000000.0,108534000000.0,1216207000000.0,108041000000.0,2488000000.0,64071000000.0,33382000000.0,167225000000.0,880751000000.0,33382000000.0,84820000000.0,885823000000.0,1513640000000.0,579723000000.0,1510188000000.0,2084000000.0,707008000000.0,288158000000.0,528789000000.0,379844000000.0,
2018-03-31,39987000000.0,170849000000.0,1253217000000.0,1539453000000.0,224633000000.0,248559000000.0,3017303000000.0,99737000000.0,131699000000.0,1160601000000.0,148082000000.0,9128000000.0,108266000000.0,16967000000.0,178918000000.0,803703000000.0,16967000000.0,129015000000.0,845834000000.0,1445119000000.0,660268000000.0,1490338000000.0,2065000000.0,666000000000.0,301432000000.0,466437000000.0,367297000000.0,
2017-03-31,43359000000.0,170849000000.0,1277082000000.0,1415426000000.0,211076000000.0,250633000000.0,2903584000000.0,99737000000.0,150979000000.0,1061374000000.0,139045000000.0,10957000000.0,83466000000.0,19680000000.0,180034000000.0,824175000000.0,19680000000.0,104202000000.0,823185000000.0,1426553000000.0,579850000000.0,1361110000000.0,792000000.0,645678000000.0,313862000000.0,449070000000.0,378110000000.0,15000000000.0
