,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Good Will
2021-03-31,188555000000.0,396238000000.0,7692958000000.0,4570420000000.0,252467000000.0,636955000000.0,12515845000000.0,342080000000.0,287191000000.0,3547789000000.0,995925000000.0,284313000000.0,803290000000.0,1063150000000.0,2701722000000.0,112055000000.0,450941000000.0,373786000000.0,2175072000000.0,4207472000000.0,5141456000000.0,4381865000000.0,429986000000.0,1811990000000.0,3995311000000.0,615155000000.0,1313341000000.0,
2020-03-31,142612000000.0,402652000000.0,7745360000000.0,3817677000000.0,243255000000.0,867244000000.0,11806292000000.0,341776000000.0,707652000000.0,3362297000000.0,815032000000.0,-289048000000.0,956770000000.0,1058733000000.0,2701110000000.0,58908000000.0,355646000000.0,-223910000000.0,2121371000000.0,4124419000000.0,4408443000000.0,3622388000000.0,93191000000.0,1710982000000.0,3897422000000.0,553861000000.0,1025153000000.0,52677000000.0
2019-03-31,95517000000.0,387335000000.0,7415471000000.0,4263166000000.0,267142000000.0,601583000000.0,11945779000000.0,341482000000.0,463697000000.0,3078655000000.0,866139000000.0,455694000000.0,864470000000.0,956107000000.0,2740275000000.0,40763000000.0,471674000000.0,463270000000.0,1945381000000.0,3996322000000.0,4965521000000.0,4089081000000.0,66473000000.0,1902370000000.0,3749633000000.0,607675000000.0,1188880000000.0,78568000000.0
2018-03-31,97426000000.0,386165000000.0,7088537000000.0,3974715000000.0,243408000000.0,750381000000.0,11306660000000.0,341482000000.0,639163000000.0,2903432000000.0,846936000000.0,343636000000.0,810407000000.0,1131380000000.0,2698772000000.0,49474000000.0,474920000000.0,448035000000.0,1729897000000.0,4226156000000.0,4366993000000.0,3801508000000.0,54074000000.0,1850840000000.0,3480918000000.0,550699000000.0,1141802000000.0,75781000000.0
