,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Long Term Debt,Accounts Payable
2020-03-31,5041000000.0,54173000000.0,9722117000000.0,740352000000.0,8078000000.0,36673000000.0,10470547000000.0,52243000000.0,132549000000.0,477336000000.0,203198000000.0,156600000000.0,5628302000000.0,1650752000000.0,8195603000000.0,2287000000.0,168389000000.0,34343000000.0,1812860000000.0,2990001000000.0,735311000000.0,1323316000000.0,7233178000000.0
2019-03-31,5444000000.0,34484000000.0,9686025000000.0,736741000000.0,28767000000.0,40769000000.0,10451533000000.0,52243000000.0,133790000000.0,462187000000.0,184772000000.0,187827000000.0,5468133000000.0,1970730000000.0,8342271000000.0,1953000000.0,196672000000.0,34632000000.0,2117893000000.0,2825431000000.0,731297000000.0,1158982000000.0,7247762000000.0
2018-03-31,5509000000.0,34484000000.0,8531976000000.0,748743000000.0,28324000000.0,39405000000.0,9309043000000.0,52243000000.0,111514000000.0,446197000000.0,194507000000.0,215819000000.0,5225125000000.0,1348767000000.0,7212249000000.0,1958000000.0,220683000000.0,35458000000.0,1474696000000.0,2568255000000.0,743234000000.0,1125220000000.0,7090621000000.0
2017-03-31,5221000000.0,34516000000.0,7960295000000.0,717157000000.0,26396000000.0,36953000000.0,8703848000000.0,52243000000.0,118625000000.0,427451000000.0,195442000000.0,202947000000.0,5120478000000.0,885456000000.0,6933608000000.0,2088000000.0,206101000000.0,38056000000.0,1019525000000.0,2520568000000.0,711936000000.0,831245000000.0,6893061000000.0
