,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Long Term Investments
2020-03-31,3556000000.0,6663000000.0,54536000000.0,5092000000.0,1619000000.0,786000000.0,61247000000.0,2000000.0,1020000000.0,13022000000.0,3917000000.0,9360000000.0,-14595000000.0,1858000000.0,4015000000.0,42624000000.0,1056000000.0,-1703000000.0,4251000000.0,42222000000.0,-7824000000.0,19950000000.0,6184000000.0,16734000000.0,37195000000.0,
2019-03-31,4083000000.0,6435000000.0,49992000000.0,8094000000.0,1586000000.0,136000000.0,59672000000.0,3000000.0,17000000.0,12409000000.0,5068000000.0,9358000000.0,-10753000000.0,1705000000.0,2981000000.0,37626000000.0,348000000.0,-1851000000.0,2548000000.0,38465000000.0,-5347000000.0,18246000000.0,7255000000.0,16709000000.0,33853000000.0,3513000000.0
2018-03-31,4527000000.0,6188000000.0,48865000000.0,9804000000.0,1712000000.0,181000000.0,60381000000.0,3000000.0,15000000.0,12986000000.0,5207000000.0,10924000000.0,-9373000000.0,1602000000.0,2672000000.0,36685000000.0,1136000000.0,-1718000000.0,2464000000.0,37136000000.0,-5647000000.0,17711000000.0,6973000000.0,16310000000.0,32177000000.0,3728000000.0
2017-03-31,4120000000.0,6028000000.0,48369000000.0,11095000000.0,1505000000.0,417000000.0,60969000000.0,3000000.0,35000000.0,13189000000.0,5452000000.0,10586000000.0,-8125000000.0,2960000000.0,2783000000.0,35612000000.0,1057000000.0,-2143000000.0,2292000000.0,36948000000.0,-3611000000.0,18215000000.0,7305000000.0,15278000000.0,31022000000.0,4063000000.0
