,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Inventory,Accounts Payable,Short Long Term Debt,Long Term Debt
2021-02-28,2608000000.0,14087000000.0,84794000000.0,375819000000.0,13191000000.0,17208000000.0,473804000000.0,10355000000.0,12512000000.0,357068000000.0,45277000000.0,3458000000.0,-5691000000.0,2880000000.0,37530000000.0,39473000000.0,2727000000.0,18080000000.0,151626000000.0,184028000000.0,129204000000.0,369753000000.0,39094000000.0,85986000000.0,8906000000.0,18397000000.0,,
2020-02-29,2588000000.0,14087000000.0,102073000000.0,375840000000.0,12370000000.0,27949000000.0,490283000000.0,10355000000.0,9081000000.0,352171000000.0,45374000000.0,4171000000.0,-773000000.0,2401000000.0,29365000000.0,56631000000.0,2241000000.0,16129000000.0,151722000000.0,219870000000.0,109531000000.0,369081000000.0,39920000000.0,131040000000.0,10464000000.0,21076000000.0,15000000.0,60000000.0
2019-02-28,2745000000.0,14691000000.0,94720000000.0,354802000000.0,11100000000.0,19267000000.0,460622000000.0,10355000000.0,8903000000.0,329341000000.0,49717000000.0,4883000000.0,415000000.0,1713000000.0,16311000000.0,44925000000.0,1618000000.0,23647000000.0,150999000000.0,182183000000.0,118099000000.0,347174000000.0,44138000000.0,102559000000.0,10272000000.0,19371000000.0,10000000.0,65000000.0
2018-02-28,2473000000.0,14473000000.0,95854000000.0,339093000000.0,10838000000.0,19944000000.0,445785000000.0,10355000000.0,12238000000.0,308143000000.0,50425000000.0,5596000000.0,6122000000.0,1700000000.0,15290000000.0,45399000000.0,1560000000.0,28534000000.0,150406000000.0,148143000000.0,137467000000.0,331024000000.0,29215000000.0,84252000000.0,7148000000.0,20182000000.0,50000000.0,25000000.0
