,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory
2020-12-31,130006000000.0,66587000000.0,1225511000000.0,389364000000.0,9765000000.0,75587000000.0,1624640000000.0,92451000000.0,30858000000.0,141422000000.0,174698000000.0,546000000.0,88904000000.0,2287000000.0,54647000000.0,219869000000.0,2278000000.0,20000000000.0,89123000000.0,806281000000.0,447757000000.0,237763000000.0,258812000000.0,13681000000.0,830944000000.0,348571000000.0
2019-12-31,111884000000.0,66744000000.0,1179839000000.0,375007000000.0,9203000000.0,82196000000.0,1564049000000.0,92451000000.0,34638000000.0,129170000000.0,174665000000.0,1192000000.0,86642000000.0,1906000000.0,39504000000.0,409242000000.0,1900000000.0,15000000000.0,96874000000.0,789628000000.0,424600000000.0,234839000000.0,261931000000.0,13134000000.0,595932000000.0,337324000000.0
2018-12-31,107280000000.0,66722000000.0,1095007000000.0,348130000000.0,8447000000.0,71027000000.0,1451584000000.0,92451000000.0,28468000000.0,107468000000.0,169634000000.0,3136000000.0,81489000000.0,1261000000.0,31716000000.0,185924000000.0,1252000000.0,15000000000.0,81726000000.0,772800000000.0,355454000000.0,211653000000.0,237714000000.0,11833000000.0,739449000000.0,283437000000.0
2017-12-31,107367000000.0,66722000000.0,1087632000000.0,344931000000.0,8487000000.0,100006000000.0,1441050000000.0,92451000000.0,30767000000.0,87153000000.0,177419000000.0,4845000000.0,98605000000.0,1271000000.0,45149000000.0,187571000000.0,1249000000.0,20000000000.0,98637000000.0,789543000000.0,308600000000.0,229424000000.0,232719000000.0,10744000000.0,722642000000.0,221940000000.0
