,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Inventory,Accounts Payable
2021-03-31,9952000000.0,95995000000.0,189637000000.0,1425479000000.0,10075000000.0,91103000000.0,1625191000000.0,69014000000.0,11253000000.0,1373018000000.0,54519000000.0,-112548000000.0,39487000000.0,429784000000.0,135118000000.0,31141000000.0,-6540000000.0,576846000000.0,889694000000.0,109212000000.0,1415527000000.0,157000000000.0,127389000000.0,164268000000.0,44015000000.0
2020-03-31,10219000000.0,96265000000.0,149634000000.0,1355100000000.0,7765000000.0,73989000000.0,1512499000000.0,69014000000.0,10833000000.0,1351122000000.0,48671000000.0,-161301000000.0,33912000000.0,405861000000.0,100963000000.0,33912000000.0,-33479000000.0,597136000000.0,770380000000.0,100852000000.0,1344881000000.0,126700000000.0,84435000000.0,142551000000.0,26974000000.0
2019-03-31,9603000000.0,96265000000.0,180194000000.0,1437775000000.0,7371000000.0,98500000000.0,1625340000000.0,69014000000.0,24302000000.0,1380439000000.0,45127000000.0,-107943000000.0,36552000000.0,607155000000.0,135067000000.0,36552000000.0,-16903000000.0,574576000000.0,907684000000.0,96925000000.0,1428172000000.0,15000000000.0,105081000000.0,156146000000.0,36567000000.0
2018-03-31,7064000000.0,96265000000.0,261450000000.0,1461590000000.0,6040000000.0,138169000000.0,1729080000000.0,69014000000.0,56513000000.0,1398977000000.0,70380000000.0,-102666000000.0,15245000000.0,602329000000.0,191070000000.0,15245000000.0,-11646000000.0,485877000000.0,1127996000000.0,92898000000.0,1454526000000.0,145000000000.0,174036000000.0,150118000000.0,52901000000.0
