,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Deferred Long Term Liab,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Accounts Payable,Inventory
2020-12-31,3156150000.0,2586130000.0,13967206000.0,-4824382000.0,15194000.0,4788000.0,133487000.0,9158018000.0,1098000.0,55546000.0,-6604028000.0,186246000.0,-807582000.0,408294000.0,308560000.0,614801000.0,53722000.0,24000000.0,-807582000.0,5050886000.0,472990000.0,69698000.0,-7980532000.0,108884000.0,11071796000.0,109969000.0,
2019-12-31,3626773000.0,2461335000.0,13410896000.0,-3667007000.0,16052000.0,4865000.0,145124000.0,9759941000.0,1118000.0,67524000.0,-5560695000.0,180587000.0,-568765000.0,371240000.0,108309000.0,1048293000.0,4342000.0,522090000.0,-568765000.0,5366819000.0,334271000.0,60838000.0,-7293780000.0,158438000.0,9902616000.0,31846000.0,
2018-12-31,3331465000.0,2270326000.0,10590530000.0,-3376823000.0,,27020000.0,130243000.0,7213707000.0,1124000.0,84412000.0,-5136368000.0,387426000.0,-511905000.0,722033000.0,143444000.0,1206279000.0,18330000.0,941728000.0,-511905000.0,2786355000.0,373854000.0,,-6708288000.0,145998000.0,8996825000.0,34308000.0,23785000.0
2017-12-31,3598131000.0,2167470000.0,9919319000.0,-2599114000.0,,27703000.0,119218000.0,7320205000.0,1164000.0,81692000.0,-4388288000.0,349728000.0,-379460000.0,650195000.0,68783000.0,278905000.0,1670000.0,20000000.0,-379460000.0,2812346000.0,259533000.0,8600000.0,-6197245000.0,109058000.0,9290686000.0,33334000.0,17437000.0
