,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Inventory,Minority Interest,Accounts Payable
2020-03-31,588000000.0,7927000000.0,33166000000.0,44327000000.0,5907000000.0,77493000000.0,5000000000.0,798000000.0,38952000000.0,15938000000.0,-7552000000.0,8063000000.0,47033000000.0,17228000000.0,8062000000.0,-1623000000.0,5332000000.0,62679000000.0,831000000.0,43739000000.0,14694000000.0,154000000.0,,
2019-03-31,742000000.0,9198000000.0,32244000000.0,42371000000.0,5634000000.0,74615000000.0,5000000000.0,932000000.0,35469000000.0,15317000000.0,-7296000000.0,7642000000.0,45052000000.0,16927000000.0,7640000000.0,-1801000000.0,5402000000.0,60036000000.0,793000000.0,41629000000.0,13882000000.0,170000000.0,,
2018-03-31,929000000.0,11955000000.0,30796000000.0,40136000000.0,5177000000.0,70934000000.0,5000000000.0,3576000000.0,31873000000.0,14620000000.0,-8692000000.0,4481000000.0,41753000000.0,16176000000.0,4479000000.0,-1942000000.0,5399000000.0,59325000000.0,800000000.0,39207000000.0,13816000000.0,180000000.0,2000000.0,1000000.0
2017-03-31,1126000000.0,11955000000.0,28524000000.0,37851000000.0,4815000000.0,66377000000.0,5000000000.0,3908000000.0,28236000000.0,13862000000.0,-7340000000.0,4238000000.0,37259000000.0,14662000000.0,4236000000.0,-2120000000.0,5552000000.0,54742000000.0,719000000.0,36725000000.0,13400000000.0,175000000.0,2000000.0,1000000.0
