,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Deferred Long Term Asset Charges
2021-03-31,964830000000.0,84040000000.0,7394621000000.0,3525502000000.0,932730000000.0,1691396000000.0,11852853000000.0,460790000000.0,211390000000.0,2710604000000.0,1091362000000.0,1161210000000.0,270068000000.0,368197000000.0,1015886000000.0,4596930000000.0,274392000000.0,273561000000.0,2408887000000.0,5943300000000.0,1006429000000.0,1399462000000.0,328153000000.0,2734476000000.0,1706329000000.0,1653395000000.0,1515954000000.0,
2020-03-31,479794000000.0,464795000000.0,5663342000000.0,3159986000000.0,1106753000000.0,1443555000000.0,9930081000000.0,459862000000.0,456165000000.0,2296208000000.0,859662000000.0,635927000000.0,-60879000000.0,511115000000.0,812331000000.0,3733178000000.0,147319000000.0,-57070000000.0,2165311000000.0,5217589000000.0,920345000000.0,2044265000000.0,279951000000.0,2260205000000.0,875622000000.0,1408937000000.0,1270668000000.0,330680000000.0
2019-03-31,398080000000.0,463786000000.0,5212189000000.0,3262603000000.0,1151800000000.0,1249591000000.0,9626592000000.0,458790000000.0,187238000000.0,2287587000000.0,898139000000.0,561936000000.0,52440000000.0,451846000000.0,807593000000.0,3605560000000.0,167317000000.0,56360000000.0,1956685000000.0,5035793000000.0,1222252000000.0,2302587000000.0,284267000000.0,2399933000000.0,677224000000.0,1356762000000.0,1406012000000.0,205809000000.0
2018-03-31,466205000000.0,575809000000.0,5594932000000.0,3278024000000.0,1233647000000.0,1322596000000.0,10106603000000.0,458790000000.0,203866000000.0,2105395000000.0,987874000000.0,588165000000.0,138030000000.0,389719000000.0,697964000000.0,3795394000000.0,101654000000.0,142167000000.0,2124827000000.0,5151800000000.0,1385887000000.0,2223654000000.0,363309000000.0,2511429000000.0,777723000000.0,1375232000000.0,1536983000000.0,180781000000.0
