,Intangible Assets,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Capital Surplus
2020-03-31,62883000000.0,2307007000000.0,939806000000.0,136620000000.0,788655000000.0,3383433000000.0,200175000000.0,827000000.0,1031231000000.0,620828000000.0,56794000000.0,-291600000000.0,144460000000.0,376973000000.0,1397917000000.0,84336000000.0,44332000000.0,-286593000000.0,575810000000.0,2038099000000.0,505387000000.0,820129000000.0,1041458000000.0,167640000000.0,482327000000.0,502066000000.0,
2019-03-31,58120000000.0,2598299000000.0,1456659000000.0,242386000000.0,859465000000.0,4297344000000.0,200044000000.0,819000000.0,1528463000000.0,642773000000.0,58475000000.0,-271848000000.0,174154000000.0,1335520000000.0,1878419000000.0,99003000000.0,331171000000.0,-262311000000.0,385720000000.0,3033858000000.0,587017000000.0,1340064000000.0,1098199000000.0,65942000000.0,468878000000.0,660792000000.0,
2018-03-31,59348000000.0,3447477000000.0,783135000000.0,227599000000.0,1444539000000.0,4458211000000.0,499999000000.0,1299399000000.0,223615000000.0,624360000000.0,67162000000.0,-297632000000.0,148992000000.0,500820000000.0,2430940000000.0,76326000000.0,211823000000.0,-295572000000.0,365635000000.0,3579096000000.0,237978000000.0,656625000000.0,1131852000000.0,392177000000.0,469767000000.0,684687000000.0,357153000000.0
2017-03-31,118401000000.0,4545217000000.0,-552947000000.0,277243000000.0,1107408000000.0,4269513000000.0,200000000000.0,492616000000.0,-580396000000.0,1306213000000.0,227422000000.0,-312695000000.0,573102000000.0,521097000000.0,2718403000000.0,32591000000.0,328570000000.0,-310750000000.0,403733000000.0,2736293000000.0,210562000000.0,-898770000000.0,1057491000000.0,520601000000.0,500686000000.0,924698000000.0,140144000000.0
