,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable
2020-12-31,843000000.0,20383000000.0,33198000000.0,18984000000.0,2539000000.0,1440000000.0,54721000000.0,6000000.0,13000000.0,16500000000.0,7921000000.0,1425000000.0,-17905000000.0,1068000000.0,2514000000.0,9518000000.0,971000000.0,-789000000.0,24927000000.0,13276000000.0,13182000000.0,16716000000.0,6522000000.0,14658000000.0,3893000000.0,5549000000.0
2019-12-31,869000000.0,20301000000.0,31551000000.0,24910000000.0,2259000000.0,1075000000.0,58720000000.0,6000000.0,23000000.0,22064000000.0,7883000000.0,3270000000.0,-17461000000.0,674000000.0,1614000000.0,11646000000.0,529000000.0,-788000000.0,25098000000.0,14395000000.0,14414000000.0,20771000000.0,8510000000.0,10957000000.0,3776000000.0,8575000000.0
2018-12-31,869000000.0,19873000000.0,27149000000.0,24653000000.0,2500000000.0,1223000000.0,54302000000.0,6000000.0,98000000.0,20489000000.0,7121000000.0,3270000000.0,-15715000000.0,612000000.0,3019000000.0,8935000000.0,67000000.0,-692000000.0,22018000000.0,13209000000.0,14324000000.0,20514000000.0,6173000000.0,10909000000.0,3543000000.0,6586000000.0
2017-12-31,876000000.0,19768000000.0,26943000000.0,25085000000.0,2343000000.0,1113000000.0,54371000000.0,6000000.0,24000000.0,16306000000.0,6767000000.0,3270000000.0,-10995000000.0,528000000.0,3119000000.0,10107000000.0,41000000.0,-617000000.0,21460000000.0,14390000000.0,13847000000.0,20939000000.0,7506000000.0,10069000000.0,3395000000.0,8027000000.0
