,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Inventory,Accounts Payable
2021-03-31,7319000000.0,32048000000.0,200140000000.0,254799000000.0,7809000000.0,94516000000.0,462748000000.0,21763000000.0,66294000000.0,205402000000.0,27336000000.0,11702000000.0,-4414000000.0,13779000000.0,80944000000.0,172804000000.0,13777000000.0,5168000000.0,45009000000.0,353677000000.0,31262000000.0,235778000000.0,24822000000.0,140420000000.0,41197000000.0,55983000000.0
2020-03-31,8477000000.0,30526000000.0,200252000000.0,231672000000.0,6892000000.0,84055000000.0,438816000000.0,21763000000.0,62964000000.0,188149000000.0,37648000000.0,10406000000.0,-8766000000.0,13914000000.0,74615000000.0,162604000000.0,13910000000.0,847000000.0,55382000000.0,324736000000.0,25901000000.0,212789000000.0,20301000000.0,137812000000.0,29044000000.0,56788000000.0
2019-03-31,8937000000.0,33193000000.0,153831000000.0,220701000000.0,4404000000.0,61915000000.0,378936000000.0,21763000000.0,58025000000.0,174460000000.0,18428000000.0,4233000000.0,-8715000000.0,12471000000.0,58878000000.0,135403000000.0,12467000000.0,907000000.0,34488000000.0,298325000000.0,20482000000.0,207531000000.0,20089000000.0,132426000000.0,28907000000.0,53901000000.0
2018-03-31,10538000000.0,33152000000.0,143032000000.0,206569000000.0,4281000000.0,59724000000.0,353882000000.0,21763000000.0,42430000000.0,160544000000.0,17103000000.0,4470000000.0,-8890000000.0,12820000000.0,51003000000.0,125929000000.0,12817000000.0,731000000.0,34857000000.0,272792000000.0,18405000000.0,191561000000.0,23333000000.0,130449000000.0,25577000000.0,48572000000.0
