,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Long Term Debt,Accounts Payable
2020-03-31,8035000000.0,139269000000.0,13049543000000.0,592377000000.0,2941000000.0,56596000000.0,13644861000000.0,70895000000.0,91167000000.0,329343000000.0,151439000000.0,9285000000.0,52870000000.0,8862486000000.0,2725025000000.0,11775355000000.0,6456000000.0,54107000000.0,96905000000.0,2819982000000.0,1848168000000.0,575057000000.0,1122749000000.0,11638618000000.0
2019-03-31,9680000000.0,144622000000.0,12557970000000.0,625195000000.0,2807000000.0,54027000000.0,13185972000000.0,70895000000.0,79912000000.0,316329000000.0,101087000000.0,11387000000.0,93349000000.0,8590690000000.0,2556419000000.0,11491568000000.0,1474000000.0,94630000000.0,99177000000.0,2640403000000.0,1834635000000.0,604128000000.0,965315000000.0,11410327000000.0
2018-03-31,10960000000.0,144590000000.0,12386147000000.0,607481000000.0,2664000000.0,53936000000.0,12996292000000.0,70895000000.0,83276000000.0,299060000000.0,98371000000.0,13489000000.0,92936000000.0,8397279000000.0,2388907000000.0,11268988000000.0,205000000.0,94303000000.0,100807000000.0,2476580000000.0,1997177000000.0,583032000000.0,1018788000000.0,11151212000000.0
2017-03-31,8767000000.0,144587000000.0,11844190000000.0,582763000000.0,2472000000.0,61412000000.0,12429425000000.0,70895000000.0,86812000000.0,284896000000.0,160547000000.0,15591000000.0,82385000000.0,7946634000000.0,1753743000000.0,10798950000000.0,4632000000.0,83783000000.0,101192000000.0,1845201000000.0,2512040000000.0,558405000000.0,884693000000.0,10701271000000.0
