,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Minority Interest
2020-03-31,1372000000.0,4452000000.0,25028000000.0,56492000000.0,3611000000.0,81520000000.0,5075000000.0,635000000.0,48995000000.0,1898000000.0,912000000.0,-2030000000.0,34000000.0,12074000000.0,22180000000.0,32000000.0,3887000000.0,8869000000.0,48181000000.0,22152000000.0,54208000000.0,2000000000.0,26416000000.0,950000000.0,7056000000.0,16698000000.0,
2019-03-31,983000000.0,4452000000.0,25522000000.0,53251000000.0,3668000000.0,78773000000.0,5075000000.0,484000000.0,45910000000.0,1674000000.0,1026000000.0,-2186000000.0,37000000.0,12706000000.0,22748000000.0,36000000.0,3732000000.0,5347000000.0,47465000000.0,23915000000.0,51242000000.0,1000000000.0,25812000000.0,1100000000.0,7463000000.0,17449000000.0,
2018-03-31,839000000.0,5584000000.0,25738000000.0,52194000000.0,2822000000.0,78203000000.0,5075000000.0,816000000.0,43227000000.0,2235000000.0,1140000000.0,-1692000000.0,10000000.0,14441000000.0,21503000000.0,8000000.0,4227000000.0,5295000000.0,50304000000.0,20615000000.0,50215000000.0,3200000000.0,24834000000.0,2000000000.0,7013000000.0,16952000000.0,271000000.0
2017-03-31,770000000.0,5469000000.0,20818000000.0,50168000000.0,2882000000.0,70986000000.0,5075000000.0,633000000.0,40678000000.0,1572000000.0,,-1054000000.0,8000000.0,17573000000.0,16771000000.0,7000000.0,2750000000.0,5404000000.0,45083000000.0,19721000000.0,49398000000.0,,20735000000.0,2475000000.0,6142000000.0,12343000000.0,
