,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Long Term Debt,Accounts Payable,Good Will,Short Long Term Debt,Short Term Investments,Net Receivables
2020-03-31,18444000000.0,247362000000.0,17823965000000.0,1098612000000.0,5360000000.0,52751000000.0,18927937000000.0,150078000000.0,70126000000.0,669897000000.0,216168000000.0,31275000000.0,13553225000000.0,2635524000000.0,16902234000000.0,25364000000.0,32691000000.0,167483000000.0,2710143000000.0,2478642000000.0,1080168000000.0,705563000000.0,16505791000000.0,,,,
2019-03-31,16707000000.0,263294000000.0,17786950000000.0,1155059000000.0,5088000000.0,75652000000.0,18947097000000.0,150078000000.0,189925000000.0,644634000000.0,120139000000.0,97053000000.0,13015967000000.0,2895885000000.0,17336139000000.0,8085000000.0,103932000000.0,166862000000.0,3220208000000.0,2527339000000.0,1138338000000.0,330672000000.0,16180056000000.0,14000000.0,218958000000.0,73420000000.0,22466000000.0
2018-03-31,13094000000.0,273204000000.0,17506579000000.0,1148824000000.0,5178000000.0,104729000000.0,18660581000000.0,150078000000.0,214301000000.0,609653000000.0,126845000000.0,115889000000.0,12838005000000.0,2806277000000.0,16684217000000.0,8435000000.0,122922000000.0,163565000000.0,3238434000000.0,2407429000000.0,1135676000000.0,695517000000.0,15682918000000.0,54000000.0,,148014000000.0,24105000000.0
2017-03-31,12268000000.0,286112000000.0,17626229000000.0,1108897000000.0,4804000000.0,128776000000.0,18739930000000.0,150078000000.0,142924000000.0,560900000000.0,210874000000.0,111807000000.0,12452560000000.0,3207127000000.0,16388771000000.0,7477000000.0,117746000000.0,158231000000.0,3356664000000.0,2760024000000.0,1096446000000.0,1026584000000.0,15230852000000.0,183000000.0,,,
