,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable
2020-03-31,24529000000.0,89514000000.0,872046000000.0,527589000000.0,80432000000.0,131147000000.0,1480067000000.0,125298000000.0,16211000000.0,366330000000.0,61197000000.0,4412000000.0,-53553000000.0,11610000000.0,149348000000.0,478498000000.0,11610000000.0,52612000000.0,-14299000000.0,485531000000.0,781347000000.0,172638000000.0,498648000000.0,327782000000.0,309787000000.0,288006000000.0,128458000000.0
2019-03-31,24324000000.0,89406000000.0,869335000000.0,551915000000.0,79824000000.0,133945000000.0,1501074000000.0,125205000000.0,8570000000.0,348202000000.0,89289000000.0,5061000000.0,-10898000000.0,11386000000.0,111056000000.0,458758000000.0,11386000000.0,57997000000.0,18971000000.0,443063000000.0,786677000000.0,230563000000.0,522530000000.0,365161000000.0,321288000000.0,301890000000.0,163908000000.0
2018-03-31,25792000000.0,89327000000.0,857500000000.0,511124000000.0,75480000000.0,126253000000.0,1444104000000.0,125125000000.0,28419000000.0,290538000000.0,108339000000.0,5684000000.0,6134000000.0,5242000000.0,80209000000.0,443198000000.0,5242000000.0,40260000000.0,25976000000.0,432908000000.0,749552000000.0,224926000000.0,479648000000.0,366582000000.0,305963000000.0,274342000000.0,162179000000.0
2017-03-31,27781000000.0,90491000000.0,810890000000.0,449692000000.0,64943000000.0,113985000000.0,1325525000000.0,125053000000.0,23820000000.0,236961000000.0,113879000000.0,7407000000.0,-2813000000.0,6755000000.0,84120000000.0,392783000000.0,6755000000.0,42724000000.0,11895000000.0,409429000000.0,678938000000.0,195215000000.0,414504000000.0,323454000000.0,304228000000.0,247544000000.0,145658000000.0
