,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Long Term Debt,Accounts Payable
2020-03-31,8048000000.0,14578000000.0,7123708000000.0,650054000000.0,21792000000.0,26382000000.0,7795554000000.0,20948000000.0,44197000000.0,433082000000.0,150118000000.0,181446000000.0,4873957000000.0,719086000000.0,6004748000000.0,199000000.0,186577000000.0,72229000000.0,1119573000000.0,1721747000000.0,642006000000.0,355563000000.0,968842000000.0,5728742000000.0
2019-03-31,7024000000.0,11604000000.0,6517330000000.0,625600000000.0,22725000000.0,35937000000.0,7165655000000.0,20948000000.0,49595000000.0,418320000000.0,120725000000.0,174728000000.0,4639492000000.0,809668000000.0,5953750000000.0,197000000.0,179917000000.0,73757000000.0,859612000000.0,1585770000000.0,618576000000.0,,442855000000.0,5688021000000.0
2018-03-31,5375000000.0,11570000000.0,6450331000000.0,623678000000.0,22624000000.0,33761000000.0,7096633000000.0,20948000000.0,47190000000.0,404181000000.0,141061000000.0,186979000000.0,4416625000000.0,728327000000.0,5663740000000.0,179000000.0,192234000000.0,72850000000.0,775982000000.0,1825801000000.0,618303000000.0,,645530000000.0,5525398000000.0
2017-03-31,4734000000.0,11555000000.0,6240224000000.0,589945000000.0,19114000000.0,26563000000.0,6849283000000.0,20948000000.0,40513000000.0,384386000000.0,116636000000.0,173056000000.0,4187071000000.0,795208000000.0,5577957000000.0,561000000.0,178426000000.0,73835000000.0,836289000000.0,1747354000000.0,585211000000.0,,545631000000.0,5437276000000.0
