,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Minority Interest
2021-03-31,172822000000.0,94494000000.0,813125000000.0,1272053000000.0,35681000000.0,2085178000000.0,50000000000.0,10609000000.0,1277332000000.0,296113000000.0,77706000000.0,-149773000000.0,159518000000.0,380547000000.0,353571000000.0,128525000000.0,20391000000.0,111479000000.0,265281000000.0,1268420000000.0,141431000000.0,1021525000000.0,444368000000.0,232036000000.0,163441000000.0,200860000000.0,297499000000.0,
2020-03-31,172499000000.0,94633000000.0,799346000000.0,1305809000000.0,30325000000.0,2105619000000.0,50000000000.0,10682000000.0,1241600000000.0,231824000000.0,76760000000.0,-80424000000.0,114752000000.0,424184000000.0,351071000000.0,114748000000.0,20000000000.0,82095000000.0,247053000000.0,1384119000000.0,110436000000.0,1056550000000.0,466528000000.0,309363000000.0,183810000000.0,173362000000.0,270867000000.0,464000000.0
2019-03-31,169472000000.0,94633000000.0,838347000000.0,1249642000000.0,31113000000.0,2088051000000.0,50000000000.0,17473000000.0,1152806000000.0,232651000000.0,77851000000.0,-47797000000.0,94813000000.0,243155000000.0,384195000000.0,94809000000.0,40000000000.0,115167000000.0,229085000000.0,1393184000000.0,123646000000.0,1002319000000.0,536880000000.0,419609000000.0,220585000000.0,176067000000.0,312660000000.0,62000000.0
2018-03-31,173536000000.0,94633000000.0,764714000000.0,1132982000000.0,106425000000.0,1897754000000.0,50000000000.0,10348000000.0,1031376000000.0,150024000000.0,75479000000.0,-43027000000.0,40343000000.0,357702000000.0,353105000000.0,40339000000.0,20000000000.0,120504000000.0,217946000000.0,1201545000000.0,188905000000.0,883967000000.0,429380000000.0,231529000000.0,260564000000.0,172586000000.0,226164000000.0,58000000.0
