,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Short Long Term Debt
2021-03-31,8726000000.0,8387000000.0,242343000000.0,359492000000.0,47750000000.0,601835000000.0,33072000000.0,14899000000.0,258850000000.0,40618000000.0,59183000000.0,11320000000.0,40731000000.0,82617000000.0,3771000000.0,59223000000.0,302855000000.0,147996000000.0,130938000000.0,350766000000.0,10000000000.0,64008000000.0,119108000000.0,18358000000.0,30158000000.0,
2020-03-31,10829000000.0,8387000000.0,241989000000.0,322767000000.0,53598000000.0,564756000000.0,33072000000.0,4920000000.0,256066000000.0,37727000000.0,25242000000.0,21511000000.0,34702000000.0,97721000000.0,13755000000.0,25253000000.0,311068000000.0,132481000000.0,88867000000.0,311938000000.0,,68947000000.0,106541000000.0,23912000000.0,23432000000.0,13653000000.0
2019-03-31,6616000000.0,8387000000.0,223260000000.0,327339000000.0,38352000000.0,550599000000.0,33072000000.0,4960000000.0,248694000000.0,38836000000.0,37186000000.0,16871000000.0,19338000000.0,90984000000.0,10138000000.0,37249000000.0,317486000000.0,117344000000.0,92282000000.0,320723000000.0,,68788000000.0,93440000000.0,24258000000.0,20009000000.0,14634000000.0
2018-03-31,4249000000.0,8387000000.0,214973000000.0,326279000000.0,43814000000.0,541252000000.0,33072000000.0,7205000000.0,240123000000.0,41977000000.0,44697000000.0,11814000000.0,17955000000.0,93054000000.0,6112000000.0,44742000000.0,323868000000.0,102240000000.0,99081000000.0,322030000000.0,,58472000000.0,79942000000.0,18608000000.0,20284000000.0,23455000000.0
